QtBids,QBid1,QBid2,Tau,ForTime
227293,757334,757334,89,89
227293,757334,757335,89,90
227293,757335,757335,90,90
227293,757334,757336,89,91
227293,757335,757336,90,91
227293,757336,757336,91,91
227293,757334,757337,89,92
227293,757335,757337,90,92
227293,757336,757337,91,92
227293,757337,757337,92,92
227294,757338,757338,89,89
227294,757338,757339,89,90
227294,757339,757339,90,90
227294,757338,757340,89,91
227294,757339,757340,90,91
227294,757340,757340,91,91
227294,757338,757341,89,92
227294,757339,757341,90,92
227294,757340,757341,91,92
227294,757341,757341,92,92
227295,757342,757342,89,89
227295,757342,757343,89,90
227295,757343,757343,90,90
227295,757342,757344,89,91
227295,757343,757344,90,91
227295,757344,757344,91,91
227295,757342,757345,89,92
227295,757343,757345,90,92
227295,757344,757345,91,92
227295,757345,757345,92,92
227296,757346,757346,89,89
227296,757346,757347,89,90
227296,757347,757347,90,90
227296,757346,757348,89,91
227296,757347,757348,90,91
227296,757348,757348,91,91
227296,757346,757349,89,92
227296,757347,757349,90,92
227296,757348,757349,91,92
227296,757349,757349,92,92
227301,757365,757365,89,89
227301,757365,757366,89,90
227301,757366,757366,90,90
227301,757365,757367,89,91
227301,757366,757367,90,91
227301,757367,757367,91,91
227301,757365,757368,89,92
227301,757366,757368,90,92
227301,757367,757368,91,92
227301,757368,757368,92,92
227302,757369,757369,89,89
227302,757369,757370,89,90
227302,757370,757370,90,90
227302,757369,757371,89,91
227302,757370,757371,90,91
227302,757371,757371,91,91
227302,757369,757372,89,92
227302,757370,757372,90,92
227302,757371,757372,91,92
227302,757372,757372,92,92
227303,757373,757373,89,89
227303,757373,757374,89,90
227303,757374,757374,90,90
227303,757373,757375,89,91
227303,757374,757375,90,91
227303,757375,757375,91,91
227303,757373,757376,89,92
227303,757374,757376,90,92
227303,757375,757376,91,92
227303,757376,757376,92,92
227304,757377,757377,89,89
227304,757377,757378,89,90
227304,757378,757378,90,90
227304,757377,757379,89,91
227304,757378,757379,90,91
227304,757379,757379,91,91
227304,757377,757380,89,92
227304,757378,757380,90,92
227304,757379,757380,91,92
227304,757380,757380,92,92
227305,757381,757381,89,89
227305,757381,757382,89,90
227305,757382,757382,90,90
227305,757381,757383,89,91
227305,757382,757383,90,91
227305,757383,757383,91,91
227306,757384,757384,89,89
227306,757384,757385,89,90
227306,757385,757385,90,90
227306,757384,757386,89,91
227306,757385,757386,90,91
227306,757386,757386,91,91
227306,757384,757387,89,92
227306,757385,757387,90,92
227306,757386,757387,91,92
227306,757387,757387,92,92
227307,757388,757388,89,89
227307,757388,757389,89,90
227307,757389,757389,90,90
227309,757391,757391,89,89
227309,757391,757392,89,90
227309,757392,757392,90,90
227310,757393,757393,89,89
227310,757393,757394,89,90
227310,757394,757394,90,90
227310,757393,757395,89,91
227310,757394,757395,90,91
227310,757395,757395,91,91
227310,757393,757396,89,92
227310,757394,757396,90,92
227310,757395,757396,91,92
227310,757396,757396,92,92
227311,757397,757397,89,89
227311,757397,757398,89,90
227311,757398,757398,90,90
227311,757397,757399,89,91
227311,757398,757399,90,91
227311,757399,757399,91,91
227313,757401,757401,89,89
227313,757401,757402,89,90
227313,757402,757402,90,90
227313,757401,757403,89,91
227313,757402,757403,90,91
227313,757403,757403,91,91
227313,757401,757404,89,92
227313,757402,757404,90,92
227313,757403,757404,91,92
227313,757404,757404,92,92
227314,757405,757405,89,89
227314,757405,757406,89,90
227314,757406,757406,90,90
227314,757405,757407,89,91
227314,757406,757407,90,91
