Node,forT,P,Q
1021,89,0.0000000000,0.0000000000
1021,90,0.0000000000,0.0000000000
1021,91,0.0000000000,0.0000000000
1021,92,0.0000000000,0.0000000000
1022,89,858.5736173410,0.0000000000
1022,90,858.5736173410,0.0000000000
1022,91,858.5736173410,0.0000000000
1022,92,858.5736173410,0.0000000000
1023,89,858.5736173410,0.0000000000
1023,90,858.5736173410,0.0000000000
1023,91,858.5736173410,0.0000000000
1023,92,858.5736173410,0.0000000000
1027,89,-700.0477815222,0.0000000000
1027,90,-700.0477815222,0.0000000000
1027,91,-700.0477815222,0.0000000000
1027,92,-700.0477815222,0.0000000000
1028,89,-463.5000000000,0.0000000000
1028,90,-463.5000000000,0.0000000000
1028,91,-463.5000000000,0.0000000000
1028,92,-463.5000000000,0.0000000000
1030,89,858.5736173410,0.0000000000
1030,90,858.5736173410,0.0000000000
1030,91,858.5736173410,0.0000000000
1030,92,858.5736173410,0.0000000000
1031,89,858.5736173410,0.0000000000
1031,90,858.5736173410,0.0000000000
1031,91,858.5736173410,0.0000000000
1031,92,858.5736173410,0.0000000000
1035,89,-250.0000000000,0.0000000000
1035,90,-250.0000000000,0.0000000000
1035,91,-250.0000000000,0.0000000000
1035,92,-250.0000000000,0.0000000000
1036,89,-250.0000000000,0.0000000000
1036,90,-250.0000000000,0.0000000000
1036,91,-250.0000000000,0.0000000000
1036,92,-250.0000000000,0.0000000000
1037,89,-380.7000000000,0.0000000000
1037,90,-380.7000000000,0.0000000000
1037,91,-380.7000000000,0.0000000000
1037,92,-380.7000000000,0.0000000000
1038,89,-380.7000000000,0.0000000000
1038,90,-380.7000000000,0.0000000000
1038,91,-380.7000000000,0.0000000000
1038,92,-380.7000000000,0.0000000000
1039,89,-360.0000000000,0.0000000000
1039,90,-360.0000000000,0.0000000000
1039,91,-360.0000000000,0.0000000000
1039,92,-360.0000000000,0.0000000000
1040,89,-360.0000000000,0.0000000000
1040,90,-360.0000000000,0.0000000000
1040,91,-360.0000000000,0.0000000000
1040,92,-360.0000000000,0.0000000000
1050,89,0.0000000000,0.0000000000
1050,90,0.0000000000,0.0000000000
1050,91,0.0000000000,0.0000000000
1050,92,0.0000000000,0.0000000000
1192,89,-0.3491087270,0.0000000000
1192,90,-0.3264933078,0.0000000000
1192,91,-0.3127761607,0.0000000000
1192,92,-0.2978923222,0.0000000000
1193,89,0.0000000000,0.0000000000
