QtBids,QBid,forT
227293,757335,90
227293,757336,91
227293,757337,92
227294,757339,90
227294,757340,91
227294,757341,92
227295,757343,90
227295,757344,91
227295,757345,92
227296,757347,90
227296,757348,91
227296,757349,92
227301,757366,90
227301,757367,91
227301,757368,92
227302,757370,90
227302,757371,91
227302,757372,92
227303,757374,90
227303,757375,91
227303,757376,92
227304,757378,90
227304,757379,91
227304,757380,92
227305,757382,90
227305,757383,91
227306,757385,90
227306,757386,91
227306,757387,92
227307,757389,90
227309,757392,90
227310,757394,90
227310,757395,91
227310,757396,92
227311,757398,90
227311,757399,91
227313,757402,90
227313,757403,91
227313,757404,92
227314,757406,90
227314,757407,91
227314,757408,92
227315,757410,90
227315,757411,91
227316,757413,90
227316,757414,91
227316,757415,92
227317,757417,90
227317,757418,91
227318,757420,90
227318,757421,91
227318,757422,92
227319,757424,90
227321,757427,90
227321,757428,91
227321,757429,92
227322,757431,90
227323,757433,90
227323,757434,91
227323,757435,92
227324,757437,90
227324,757438,91
227325,757440,90
227325,757441,91
227325,757442,92
227326,757444,90
227326,757445,91
227327,757447,90
227328,757449,90
227328,757450,91
227328,757451,92
227329,757453,90
227329,757454,91
227329,757455,92
227330,757457,90
227330,757458,91
227331,757460,90
227331,757461,91
227331,757462,92
227332,757464,90
227332,757465,91
227332,757466,92
227333,757468,90
227333,757469,91
227335,757472,90
227336,757474,90
227336,757475,91
227336,757476,92
227337,757478,90
227337,757479,91
227337,757480,92
227338,757482,90
227338,757483,91
227338,757484,92
227339,757486,90
227339,757487,91
227339,757488,92
227340,757490,90
227340,757491,91
227340,757492,92
227341,757494,90
227342,757496,90
227342,757497,91
227344,757500,90
227344,757501,91
227344,757502,92
227345,757504,90
227345,757505,91
227346,757507,90
227346,757508,91
227346,757509,92
227347,757511,90
227348,757513,90
227348,757514,91
227348,757515,92
227349,757517,90
227349,757518,91
227349,757519,92
227350,757521,90
227350,757522,91
227350,757523,92
227351,757525,90
227352,757527,90
227352,757528,91
227352,757529,92
227353,757531,90
227353,757532,91
227353,757533,92
227355,757536,90
227355,757537,91
227356,757539,90
227357,757541,90
227358,757543,90
227358,757544,91
227358,757545,92
227359,757547,90
227359,757548,91
227361,757551,90
227362,757553,90
227362,757554,91
227362,757555,92
227363,757557,90
227363,757558,91
227365,757561,90
227365,757562,91
227365,757563,92
227366,757565,90
227366,757566,91
227366,757567,92
227367,757569,90
227367,757570,91
227369,757573,90
227369,757574,91
227369,757575,92
227370,757577,90
227370,757578,91
227370,757579,92
227372,757582,90
227372,757583,91
227373,757585,90
227373,757586,91
227373,757587,92
227374,757589,90
227374,757590,91
227375,757592,90
227375,757593,91
227375,757594,92
227376,757596,90
227376,757597,91
227376,757598,92
227377,757600,90
227377,757601,91
227378,757603,90
227378,757604,91
227378,757605,92
227380,757608,90
227380,757609,91
227380,757610,92
227381,757612,90
227381,757613,91
227382,757615,90
227383,757617,90
227383,757618,91
227383,757619,92
227384,757621,90
227384,757622,91
227385,757624,90
227385,757625,91
227385,757626,92
227387,757629,90
227387,757630,91
227387,757631,92
227388,757633,90
227388,757634,91
227388,757635,92
227389,757637,90
227389,757638,91
227390,757640,90
227391,757642,90
227391,757643,91
227391,757644,92
227393,757647,90
227393,757648,91
227394,757650,90
227394,757651,91
227394,757652,92
227395,757654,90
227395,757655,91
227395,757656,92
227397,757659,90
227398,757661,90
227398,757662,91
227398,757663,92
227399,757665,90
227399,757666,91
227399,757667,92
227400,757669,90
227400,757670,91
227401,757672,90
227401,757673,91
227401,757674,92
227402,757676,90
227402,757677,91
227402,757678,92
227403,757680,90
227404,757682,90
227404,757683,91
227404,757684,92
227405,757686,90
227405,757687,91
227406,757689,90
227408,757692,90
227408,757693,91
227408,757694,92
227409,757696,90
227409,757697,91
227410,757699,90
227412,757702,90
227412,757703,91
227412,757704,92
227414,757707,90
227414,757708,91
227415,757710,90
227416,757712,90
227416,757713,91
227416,757714,92
227417,757716,90
227417,757717,91
227418,757719,90
227418,757720,91
227418,757721,92
227419,757723,90
227419,757724,91
227419,757725,92
227420,757727,90
227420,757728,91
227420,757729,92
227421,757731,90
227421,757732,91
227422,757734,90
227422,757735,91
227422,757736,92
227423,757738,90
227424,757740,90
227424,757741,91
227424,757742,92
227425,757744,90
227425,757745,91
227426,757747,90
227427,757749,90
227427,757750,91
227427,757751,92
227428,757753,90
227428,757754,91
227428,757755,92
227429,757757,90
227430,757759,90
227430,757760,91
227432,757763,90
227432,757764,91
227432,757765,92
227433,757767,90
227433,757768,91
227433,757769,92
227435,757772,90
227435,757773,91
227436,757775,90
227436,757776,91
227436,757777,92
227437,757779,90
227437,757780,91
227439,757783,90
227440,757785,90
227440,757786,91
227440,757787,92
227441,757789,90
227443,757792,90
227443,757793,91
227444,757795,90
227444,757796,91
227444,757797,92
227445,757799,90
227445,757800,91
227445,757801,92
227446,757803,90
227447,757805,90
227447,757806,91
227449,757809,90
227449,757810,91
227450,757812,90
227450,757813,91
227450,757814,92
227451,757816,90
227451,757817,91
227451,757818,92
227452,757820,90
227452,757821,91
227452,757822,92
227453,757824,90
227453,757825,91
227453,757826,92
227454,757828,90
227454,757829,91
227454,757830,92
227455,757832,90
227455,757833,91
227457,757836,90
227457,757837,91
227457,757838,92
227458,757840,90
227459,757842,90
227459,757843,91
227459,757844,92
227460,757846,90
227460,757847,91
227460,757848,92
227462,757851,90
227462,757852,91
227463,757854,90
227464,757856,90
227464,757857,91
227464,757858,92
227465,757860,90
227465,757861,91
227466,757863,90
227466,757864,91
227466,757865,92
227467,757867,90
227467,757868,91
227467,757869,92
227468,757871,90
227468,757872,91
227468,757873,92
227469,757875,90
227470,757877,90
227470,757878,91
227472,757881,90
227472,757882,91
227472,757883,92
227473,757885,90
227473,757886,91
227474,757888,90
227475,757890,90
227475,757891,91
227475,757892,92
227477,757895,90
227478,757897,90
227478,757898,91
227479,757900,90
227479,757901,91
227479,757902,92
227481,757905,90
227481,757906,91
227481,757907,92
227482,757909,90
227483,757911,90
227483,757912,91
227484,757914,90
227484,757915,91
227484,757916,92
227486,757919,90
227486,757920,91
227486,757921,92
227487,757923,90
227488,757925,90
227488,757926,91
227489,757928,90
227489,757929,91
227489,757930,92
227490,757932,90
227490,757933,91
227490,757934,92
227491,757936,90
227491,757937,91
227492,757939,90
227492,757940,91
227492,757941,92
227493,757943,90
227493,757944,91
227494,757946,90
227494,757947,91
227494,757948,92
227495,757950,90
227495,757951,91
227495,757952,92
227496,757954,90
227496,757955,91
227496,757956,92
227497,757958,90
227497,757959,91
227497,757960,92
227499,757963,90
227499,757964,91
227500,757966,90
227501,757968,90
227501,757969,91
227501,757970,92
227502,757972,90
227502,757973,91
227502,757974,92
227503,757976,90
227503,757977,91
227503,757978,92
227504,757980,90
227504,757981,91
227504,757982,92
227505,757984,90
227505,757985,91
227505,757986,92
227506,757988,90
227506,757989,91
227506,757990,92
227507,757992,90
227507,757993,91
227507,757994,92
227508,757996,90
227508,757997,91
227508,757998,92
227509,758000,90
227509,758001,91
227509,758002,92
227510,758004,90
227510,758005,91
227510,758006,92
227511,758008,90
227512,758010,90
227512,758011,91
227512,758012,92
227513,758014,90
227513,758015,91
227514,758017,90
227514,758018,91
227514,758019,92
227515,758021,90
227515,758022,91
227515,758023,92
227516,758025,90
227516,758026,91
227516,758027,92
227517,758029,90
227518,758031,90
227518,758032,91
227518,758033,92
227519,758035,90
227520,758037,90
227520,758038,91
227520,758039,92
227522,758042,90
227522,758043,91
227522,758044,92
227523,758046,90
227523,758047,91
227524,758049,90
227525,758051,90
227525,758052,91
227525,758053,92
227526,758055,90
227526,758056,91
227526,758057,92
227527,758059,90
227527,758060,91
227528,758062,90
227528,758063,91
227528,758064,92
227529,758066,90
227529,758067,91
227529,758068,92
227530,758070,90
227531,758072,90
227531,758073,91
227531,758074,92
227532,758076,90
227532,758077,91
227533,758079,90
227533,758080,91
227533,758081,92
227534,758083,90
227534,758084,91
227534,758085,92
227535,758087,90
227535,758088,91
227535,758089,92
227536,758091,90
227538,758094,90
227538,758095,91
227538,758096,92
227539,758098,90
227539,758099,91
227540,758101,90
227541,758103,90
227541,758104,91
227541,758105,92
227542,758107,90
227542,758108,91
227543,758110,90
227543,758111,91
227543,758112,92
227544,758114,90
227544,758115,91
227544,758116,92
227297,757351,90
227297,757352,91
227297,757353,92
227298,757355,90
227298,757356,91
227298,757357,92
227299,757359,90
227299,757360,91
227299,757361,92
227300,757363,90
227300,757364,91
227549,758133,90
227550,758135,90
227550,758136,91
227550,758137,92
227551,758139,90
227551,758140,91
227551,758141,92
227552,758143,90
227552,758144,91
227553,758146,90
227553,758147,91
227553,758148,92
227554,758150,90
227554,758151,91
227555,758153,90
227555,758154,91
227555,758155,92
227556,758157,90
227557,758159,90
227558,758161,90
227558,758162,91
227559,758164,90
227559,758165,91
227559,758166,92
227562,758170,90
227562,758171,91
227563,758173,90
227563,758174,91
227563,758175,92
227564,758177,90
227565,758179,90
227566,758181,90
227566,758182,91
227566,758183,92
227567,758185,90
227567,758186,91
227567,758187,92
227568,758189,90
227568,758190,91
227569,758192,90
227570,758194,90
227570,758195,91
227570,758196,92
227571,758198,90
227571,758199,91
227573,758202,90
227574,758204,90
227574,758205,91
227574,758206,92
227575,758208,90
227575,758209,91
227577,758212,90
227578,758214,90
227578,758215,91
227580,758218,90
227580,758219,91
227580,758220,92
227581,758222,90
227581,758223,91
227583,758226,90
227584,758228,90
227584,758229,91
227584,758230,92
227585,758232,90
227585,758233,91
227585,758234,92
227586,758236,90
227586,758237,91
227587,758239,90
227587,758240,91
227587,758241,92
227588,758243,90
227588,758244,91
227588,758245,92
227589,758247,90
227591,758250,90
227591,758251,91
227591,758252,92
227592,758254,90
227592,758255,91
227593,758257,90
227593,758258,91
227593,758259,92
227594,758261,90
227595,758263,90
227595,758264,91
227596,758266,90
227596,758267,91
227596,758268,92
227597,758270,90
227597,758271,91
227597,758272,92
227598,758274,90
227598,758275,91
227598,758276,92
227599,758278,90
227599,758279,91
227600,758281,90
227600,758282,91
227600,758283,92
227545,758118,90
227545,758119,91
227545,758120,92
227546,758122,90
227546,758123,91
227546,758124,92
227547,758126,90
227547,758127,91
227547,758128,92
227548,758130,90
227548,758131,91
227609,758317,90
227609,758318,91
227609,758319,92
227610,758321,90
227611,758323,90
227611,758324,91
227613,758327,90
227614,758329,90
227614,758330,91
227614,758331,92
227615,758333,90
227615,758334,91
227615,758335,92
227616,758337,90
227617,758339,90
227617,758340,91
227618,758342,90
227618,758343,91
227619,758345,90
227619,758346,91
227619,758347,92
227620,758349,90
227620,758350,91
227620,758351,92
227621,758353,90
227623,758356,90
227623,758357,91
227623,758358,92
227624,758360,90
227624,758361,91
227626,758364,90
227626,758365,91
227626,758366,92
227627,758368,90
227628,758370,90
227628,758371,91
227629,758373,90
227629,758374,91
227629,758375,92
227630,758377,90
227630,758378,91
227631,758380,90
227633,758383,90
227633,758384,91
227633,758385,92
227635,758388,90
227635,758389,91
227636,758391,90
227637,758393,90
227637,758394,91
227639,758397,90
227640,758399,90
227640,758400,91
227640,758401,92
227641,758403,90
227641,758404,91
227641,758405,92
227642,758407,90
227642,758408,91
227643,758410,90
227643,758411,91
227643,758412,92
227644,758414,90
227645,758416,90
227645,758417,91
227647,758420,90
227648,758422,90
227648,758423,91
227648,758424,92
227650,758427,90
227650,758428,91
227650,758429,92
227651,758431,90
227651,758432,91
227652,758434,90
227653,758436,90
227655,758439,90
227655,758440,91
227656,758442,90
227656,758443,91
227656,758444,92
227657,758446,90
227657,758447,91
227657,758448,92
227658,758450,90
227658,758451,91
227658,758452,92
227660,758455,90
227660,758456,91
227661,758458,90
227661,758459,91
227661,758460,92
227662,758462,90
227662,758463,91
227662,758464,92
227663,758466,90
227663,758467,91
227664,758469,90
227664,758470,91
227664,758471,92
227665,758473,90
227665,758474,91
227666,758476,90
227667,758478,90
227667,758479,91
227667,758480,92
227668,758482,90
227668,758483,91
227668,758484,92
227601,758285,90
227601,758286,91
227601,758287,92
227602,758289,90
227602,758290,91
227602,758291,92
227603,758293,90
227603,758294,91
227603,758295,92
227604,758297,90
227604,758298,91
227604,758299,92
227605,758301,90
227605,758302,91
227605,758303,92
227606,758305,90
227606,758306,91
227606,758307,92
227607,758309,90
227607,758310,91
227607,758311,92
227608,758313,90
227608,758314,91
227608,758315,92
227673,758501,90
227673,758502,91
227673,758503,92
227674,758505,90
227675,758507,90
227675,758508,91
227675,758509,92
227676,758511,90
227676,758512,91
227676,758513,92
227677,758515,90
227677,758516,91
227678,758518,90
227678,758519,91
227678,758520,92
227679,758522,90
227680,758524,90
227680,758525,91
227680,758526,92
227681,758528,90
227681,758529,91
227681,758530,92
227682,758532,90
227682,758533,91
227682,758534,92
227683,758536,90
227684,758538,90
227684,758539,91
227684,758540,92
227685,758542,90
227685,758543,91
227685,758544,92
227686,758546,90
227686,758547,91
227686,758548,92
227687,758550,90
227687,758551,91
227687,758552,92
227688,758554,90
227689,758556,90
227689,758557,91
227689,758558,92
227690,758560,90
227690,758561,91
227690,758562,92
227691,758564,90
227691,758565,91
227692,758567,90
227692,758568,91
227692,758569,92
227693,758571,90
227693,758572,91
227693,758573,92
227694,758575,90
227694,758576,91
227694,758577,92
