ID,NodeFrom,NodeTo,R,G,X,B,S,Tap,Shift
1,54,55,0.0000125,0,0.00025,0,100000,1,0
2,54,56,0.0000125,0,0.00025,0,100000,1,0
3,54,57,0.0000125,0,0.00025,0,100000,1,0
4,54,58,0.0000125,0,0.00025,0,100000,1,0
5,74,76,0.0000125,0,0.00025,0,100000,1,0
6,74,77,0.0000125,0,0.00025,0,100000,1,0
7,78,79,0.0000125,0,0.00025,0,100000,1,0
8,59,60,0.0000125,0,0.00025,0,100000,1,0
9,60,61,0.0000125,0,0.00025,0,100000,1,0
10,82,83,0.0000125,0,0.00025,0,100000,1,0
11,92,93,0.0000125,0,0.00025,0,100000,1,0
12,85,63,0.0000125,0,0.00025,0,100000,1,0
13,85,64,0.0000125,0,0.00025,0,100000,1,0
14,91,69,0.0000125,0,0.00025,0,100000,1,0
15,91,70,0.0000125,0,0.00025,0,100000,1,0
16,72,95,0.0000125,0,0.00025,0,100000,1,0
17,72,96,0.0000125,0,0.00025,0,100000,1,0
18,72,97,0.0000125,0,0.00025,0,100000,1,0
19,433,434,0.0000125,0,0.00025,0,100000,1,0
20,65,66,0.0000125,0,0.00025,0,100000,1,0
21,65,67,0.0000125,0,0.00025,0,100000,1,0
22,445,446,0.0000125,0,0.00025,0,100000,1,0
23,445,446,0.0000125,0,0.00025,0,100000,1,0
24,444,445,0.0000125,0,0.00025,0,100000,1,0
25,444,445,0.0000125,0,0.00025,0,100000,1,0
26,120,122,0.0000125,0,0.00025,0,100000,1,0
27,133,134,0.0000125,0,0.00025,0,100000,1,0
28,139,140,0.0000125,0,0.00025,0,100000,1,0
29,139,140,0.0000125,0,0.00025,0,100000,1,0
30,139,141,0.0000125,0,0.00025,0,100000,1,0
31,139,141,0.0000125,0,0.00025,0,100000,1,0
32,108,109,0.0000125,0,0.00025,0,100000,1,0
33,108,109,0.0000125,0,0.00025,0,100000,1,0
34,151,152,0.0000125,0,0.00025,0,100000,1,0
35,156,157,0.0000125,0,0.00025,0,100000,1,0
36,153,154,0.0000125,0,0.00025,0,100000,1,0
37,153,155,0.0000125,0,0.00025,0,100000,1,0
38,173,174,0.0000125,0,0.00025,0,100000,1,0
39,173,175,0.0000125,0,0.00025,0,100000,1,0
40,173,176,0.0000125,0,0.00025,0,100000,1,0
41,186,187,0.0000125,0,0.00025,0,100000,1,0
42,186,187,0.0000125,0,0.00025,0,100000,1,0
43,186,187,0.0000125,0,0.00025,0,100000,1,0
44,190,191,0.0000125,0,0.00025,0,100000,1,0
45,188,189,0.0000125,0,0.00025,0,100000,1,0
46,199,51,0.0000125,0,0.00025,0,100000,1,0
47,50,51,0.0000125,0,0.00025,0,100000,1,0
48,50,52,0.0000125,0,0.00025,0,100000,1,0
49,116,117,0.0000125,0,0.00025,0,100000,1,0
50,115,118,0.0000125,0,0.00025,0,100000,1,0
51,183,184,0.0000125,0,0.00025,0,100000,1,0
