ID,QtBid
1,1
1,2
1,3
2,4
2,5
2,6
2,7
2,8
2,9
3,10
3,11
3,12
4,13
4,14
4,15
4,16
4,17
4,18
5,19
5,20
5,21
6,22
6,23
6,24
7,25
7,26
7,27
8,28
8,29
8,30
9,31
9,32
9,33
10,34
10,35
10,36
10,37
10,38
10,39
11,40
11,41
11,42
11,43
11,44
11,45
12,46
12,47
12,48
13,49
13,50
13,51
14,52
14,53
14,54
14,55
15,56
15,57
15,58
16,59
16,60
16,61
17,62
17,63
17,64
18,65
18,66
18,67
18,68
18,69
18,70
19,71
19,72
19,73
20,74
20,75
20,76
20,77
20,78
20,79
21,80
21,81
21,82
22,83
22,84
22,85
22,86
22,87
22,88
23,89
23,90
23,91
23,92
23,93
23,94
24,95
24,96
24,97
24,98
24,99
24,100
25,101
25,102
25,103
25,104
25,105
25,106
26,107
26,108
26,109
27,110
27,111
27,112
27,113
27,114
27,115
28,116
28,117
28,118
28,119
28,120
28,121
29,122
29,123
29,124
30,125
30,126
30,127
31,128
31,129
31,130
31,131
31,132
31,133
32,134
32,135
32,136
33,137
33,138
33,139
33,140
33,141
33,142
34,143
34,144
34,145
34,146
34,147
34,148
35,149
35,150
35,151
35,152
35,153
35,154
36,155
36,156
36,157
37,158
37,159
37,160
38,161
38,162
38,163
39,164
39,165
39,166
40,167
40,168
40,169
41,170
41,171
41,172
41,173
41,174
41,175
42,176
42,177
42,178
42,179
42,180
42,181
43,182
43,183
43,184
43,185
43,186
43,187
44,188
44,189
44,190
45,191
45,192
45,193
46,194
46,195
46,196
46,197
46,198
46,199
47,200
47,201
47,202
48,203
48,204
48,205
48,206
48,207
48,208
49,209
49,210
49,211
49,212
49,213
49,214
50,215
50,216
50,217
50,218
50,219
50,220
51,221
51,222
51,223
52,224
52,225
52,226
52,227
52,228
52,229
53,230
53,231
53,232
54,233
54,234
54,235
54,236
54,237
54,238
55,239
55,240
55,241
55,242
55,243
55,244
56,245
56,246
56,247
57,248
57,249
57,250
57,251
57,252
57,253
58,254
58,255
58,256
59,257
59,258
59,259
60,260
60,261
60,262
60,263
60,264
61,3383
61,3384
62,3385
62,3386
63,3387
63,3388
64,3389
64,3390
65,3391
65,3392
66,3393
66,3394
67,3395
67,3396
68,3397
69,3398
69,3399
70,3400
70,3401
71,3402
71,3403
72,3404
72,3405
73,3406
73,3407
74,3408
74,3409
75,3410
75,3411
76,3412
76,3413
77,3414
77,3415
78,3416
78,3417
79,3418
79,3419
80,3420
80,3421
81,3422
81,3423
82,3424
82,3425
83,3426
83,3427
84,3428
84,3429
85,3430
85,3431
86,3432
86,3433
87,3434
87,3435
88,3436
88,3437
89,3438
89,3439
90,3440
90,3441
91,3442
91,3443
92,3444
92,3445
93,3446
93,3447
94,3448
94,3449
95,3450
95,3451
96,3452
96,3453
97,3454
97,3455
98,3456
98,3457
99,3458
99,3459
100,3460
100,3461
101,3462
101,3463
102,3464
102,3465
103,3466
103,3467
104,3468
104,3469
105,3470
105,3471
106,3472
106,3473
107,3474
107,3475
108,3476
108,3477
109,3478
109,3479
110,3480
110,3481
111,3482
111,3483
112,3484
112,3485
113,3486
113,3487
114,3488
114,3489
115,3490
115,3491
116,3492
116,3493
117,3494
117,3495
118,3496
118,3497
119,3498
119,3499
120,3500
120,3501
121,3502
121,3503
122,3504
122,3505
123,3506
123,3507
124,3508
124,3509
125,3510
125,3511
126,3512
126,3513
127,3514
127,3515
128,3516
128,3517
129,3518
129,3519
130,3520
130,3521
131,3522
131,3523
132,3524
132,3525
133,3526
133,3527
134,3528
134,3529
135,3530
135,3531
136,3532
136,3533
137,3534
137,3535
138,3536
138,3537
139,3538
139,3539
140,3540
140,3541
141,3542
141,3543
142,3544
142,3545
143,3546
143,3547
144,3548
144,3549
145,3550
145,3551
146,3552
146,3553
147,3554
147,3555
148,3556
148,3557
149,3558
149,3559
150,3560
150,3561
151,3562
151,3563
152,3564
152,3565
153,3566
153,3567
154,3568
154,3569
155,3570
155,3571
156,3572
156,3573
157,3574
157,3575
158,3576
158,3577
159,3578
159,3579
160,3580
160,3581
161,3582
161,3583
162,3584
162,3585
163,3586
163,3587
164,3588
164,3589
165,3590
165,3591
166,3592
166,3593
167,3594
167,3595
168,3596
168,3597
169,3598
169,3599
170,3600
170,3601
171,3602
171,3603
172,3604
172,3605
173,3606
173,3607
174,3608
174,3609
175,3610
175,3611
176,3612
176,3613
177,3614
177,3615
178,3616
178,3617
179,3618
179,3619
180,3620
180,3621
181,3622
181,3623
182,3624
182,3625
183,3626
183,3627
184,3628
184,3629
185,3630
185,3631
186,3632
186,3633
187,3634
187,3635
188,3636
188,3637
189,3638
189,3639
190,3640
190,3641
191,3642
191,3643
192,3644
192,3645
193,3646
193,3647
194,3648
194,3649
195,3650
195,3651
196,3652
196,3653
197,3654
197,3655
198,3656
198,3657
199,3658
200,3659
200,3660
201,3661
201,3662
202,3663
202,3664
203,3665
203,3666
204,3667
204,3668
205,3669
205,3670
206,3671
206,3672
207,3673
207,3674
208,3675
208,3676
209,3677
209,3678
210,3679
210,3680
211,3681
211,3682
212,3683
212,3684
213,3685
213,3686
214,3687
214,3688
215,3689
215,3690
216,3691
216,3692
217,3693
217,3694
218,3695
218,3696
219,3697
219,3698
220,3699
220,3700
221,3701
221,3702
222,3703
222,3704
223,3705
223,3706
224,3707
224,3708
225,3709
225,3710
226,3711
226,3712
227,3713
227,3714
228,3715
228,3716
229,3717
229,3718
230,3719
230,3720
231,3721
231,3722
232,3723
233,3724
233,3725
234,3726
234,3727
235,3728
235,3729
236,3730
236,3731
237,3732
237,3733
238,3734
238,3735
239,3736
239,3737
240,3738
240,3739
241,3740
241,3741
242,3742
242,3743
243,3744
243,3745
244,3746
244,3747
245,3748
245,3749
246,3750
246,3751
247,3752
247,3753
248,3754
248,3755
249,3756
249,3757
250,3758
250,3759
251,3760
251,3761
252,3762
252,3763
253,3764
253,3765
254,3766
254,3767
255,3768
255,3769
256,3770
256,3771
257,3772
257,3773
258,3774
258,3775
259,3776
259,3777
260,3778
260,3779
261,3780
261,3781
262,3782
262,3783
263,3784
263,3785
264,3786
264,3787
265,3788
265,3789
266,3790
266,3791
267,3792
267,3793
268,3794
268,3795
269,3796
269,3797
270,3798
270,3799
271,3800
271,3801
272,3802
272,3803
273,3804
273,3805
274,3806
274,3807
275,3808
275,3809
276,3810
276,3811
277,3812
277,3813
278,3814
278,3815
279,3816
279,3817
280,3818
280,3819
281,3820
281,3821
282,3822
282,3823
283,3824
283,3825
284,3826
284,3827
285,3828
285,3829
286,3830
286,3831
287,3832
287,3833
288,3834
288,3835
289,3836
289,3837
290,3838
290,3839
291,3840
291,3841
292,3842
292,3843
293,3844
293,3845
294,3846
294,3847
295,3848
295,3849
296,3850
296,3851
297,3852
297,3853
298,3854
298,3855
299,3856
299,3857
300,3858
300,3859
301,3860
301,3861
302,3862
302,3863
303,3864
303,3865
304,3866
304,3867
305,3868
305,3869
306,3870
306,3871
307,3872
307,3873
308,3874
309,3875
309,3876
310,3877
311,3878
311,3879
312,3880
312,3881
313,3882
313,3883
314,3884
314,3885
315,3886
315,3887
316,3888
316,3889
317,3890
317,3891
318,3892
318,3893
319,3894
319,3895
320,3896
320,3897
321,3898
321,3899
322,3900
322,3901
323,3902
323,3903
324,3904
324,3905
325,3906
325,3907
326,3908
326,3909
327,3910
327,3911
328,3912
328,3913
329,3914
329,3915
330,3916
330,3917
331,3918
331,3919
332,3920
332,3921
333,3922
333,3923
334,3924
334,3925
335,3926
335,3927
336,3928
336,3929
337,3930
337,3931
338,3932
338,3933
339,3934
339,3935
340,3936
340,3937
341,3938
341,3939
342,3940
342,3941
343,3942
343,3943
344,3944
344,3945
345,3946
345,3947
346,3948
346,3949
347,3950
348,3951
348,3952
349,3953
349,3954
350,3955
350,3956
351,3957
351,3958
352,3959
352,3960
353,3961
353,3962
354,3963
354,3964
355,3965
355,3966
356,3967
356,3968
357,3969
358,3970
358,3971
359,3972
359,3973
360,3974
360,3975
361,3976
361,3977
362,3978
362,3979
363,3980
363,3981
364,3982
364,3983
365,3984
365,3985
366,3986
366,3987
367,3988
368,3989
368,3990
369,3991
369,3992
370,3993
370,3994
371,3995
371,3996
372,3997
372,3998
373,3999
373,4000
374,4001
374,4002
375,4003
375,4004
376,4005
376,4006
377,4007
377,4008
378,4009
378,4010
379,4011
379,4012
380,4013
380,4014
381,4015
381,4016
382,4017
382,4018
383,4019
383,4020
384,4021
384,4022
385,4023
385,4024
386,4025
386,4026
387,4027
387,4028
388,4029
388,4030
389,4031
389,4032
390,4033
390,4034
391,4035
392,4036
392,4037
393,4038
393,4039
394,4040
394,4041
395,4042
395,4043
396,4044
396,4045
397,4046
397,4047
398,4048
398,4049
399,4050
399,4051
400,4052
400,4053
401,4054
401,4055
402,4056
402,4057
403,4058
403,4059
404,4060
404,4061
405,4062
405,4063
406,4064
406,4065
407,4066
407,4067
408,4068
408,4069
409,4070
409,4071
410,4072
410,4073
411,4074
411,4075
412,4076
412,4077
413,4078
413,4079
414,4080
414,4081
415,4082
415,4083
416,4084
416,4085
417,4086
417,4087
418,4088
418,4089
419,4090
419,4091
420,4092
420,4093
421,4094
421,4095
422,4096
422,4097
423,4098
423,4099
424,4100
425,4101
425,4102
426,4103
426,4104
427,4105
427,4106
428,4107
428,4108
429,4109
429,4110
430,4111
430,4112
431,4113
431,4114
432,4115
432,4116
433,4117
433,4118
434,4119
434,4120
435,4121
435,4122
436,4123
436,4124
437,4125
437,4126
438,4127
438,4128
439,4129
439,4130
440,4131
440,4132
441,4133
441,4134
442,4135
442,4136
443,4137
443,4138
444,4139
444,4140
445,4141
445,4142
446,4143
446,4144
447,4145
447,4146
448,4147
448,4148
449,4149
449,4150
450,4151
450,4152
451,4153
451,4154
452,4155
452,4156
453,4157
453,4158
454,4159
454,4160
455,4161
455,4162
456,4163
456,4164
457,4165
457,4166
458,4167
458,4168
459,4169
459,4170
460,4171
460,4172
461,4173
461,4174
462,4175
462,4176
463,4177
463,4178
464,4179
464,4180
465,4181
465,4182
466,4183
466,4184
467,4185
467,4186
468,4187
468,4188
469,4189
469,4190
470,4191
470,4192
471,4193
471,4194
472,4195
472,4196
473,4197
473,4198
474,4199
474,4200
475,4201
475,4202
476,4203
476,4204
477,4205
477,4206
478,4207
478,4208
479,4209
479,4210
480,4211
480,4212
481,4213
481,4214
482,4215
483,4216
483,4217
484,4218
484,4219
485,4220
485,4221
486,4222
486,4223
487,4224
487,4225
488,4226
488,4227
489,4228
489,4229
490,4230
490,4231
491,4232
491,4233
492,4234
492,4235
493,4236
493,4237
494,4238
494,4239
495,4240
495,4241
496,4242
496,4243
497,4244
497,4245
498,4246
498,4247
499,4248
499,4249
500,4250
500,4251
501,4252
501,4253
502,4254
502,4255
503,4256
503,4257
504,4258
504,4259
505,4260
505,4261
506,4262
506,4263
507,4264
507,4265
508,4266
508,4267
509,4268
509,4269
510,4270
510,4271
511,4272
511,4273
512,4274
512,4275
513,4276
513,4277
514,4278
514,4279
515,4280
515,4281
516,4282
516,4283
517,4284
517,4285
518,4286
518,4287
519,4288
519,4289
520,4290
520,4291
521,4292
521,4293
522,4294
522,4295
523,4296
523,4297
524,4298
524,4299
525,4300
525,4301
526,4302
526,4303
527,4304
527,4305
528,4306
528,4307
529,4308
529,4309
530,4310
530,4311
531,4312
531,4313
532,4314
532,4315
533,4316
533,4317
534,4318
534,4319
535,4320
535,4321
536,4322
536,4323
537,4324
537,4325
538,4326
538,4327
539,4328
539,4329
540,4330
540,4331
541,4332
541,4333
542,4334
542,4335
543,4336
543,4337
