QtBid,ID,QPHPFrom,QPHPTo,QPHPSlope,QPHPOffset,QPHPConstr
2532,1,-1,-1,0.05,0,0
2532,2,-1,-1,0.05,0,0
2532,3,-1,-1,0.05,0,0
2533,4,-1,-1,0.05,0,0
2533,5,-1,-1,0.05,0,0
2533,6,-1,-1,0.05,0,0
2534,7,-1,-1,0.05,0,0
2534,8,-1,-1,0.05,0,0
2534,9,-1,-1,0.05,0,0
2535,10,-1,-1,0.05,0,0
2535,11,-1,-1,0.05,0,0
2535,12,-1,-1,0.05,0,0
2536,13,-1,-1,0.05,0,0
2536,14,-1,-1,0.05,0,0
2536,15,-1,-1,0.05,0,0
2537,16,-1,-1,0.05,0,0
2537,17,-1,-1,0.05,0,0
2537,18,-1,-1,0.05,0,0
2538,19,-1,-1,0.05,0,0
2538,20,-1,-1,0.05,0,0
2538,21,-1,-1,0.05,0,0
2539,22,-1,-1,0.05,0,0
2539,23,-1,-1,0.05,0,0
2539,24,-1,-1,0.05,0,0
2540,25,-1,-1,0.05,0,0
2540,26,-1,-1,0.05,0,0
2540,27,-1,-1,0.05,0,0
2541,28,-1,-1,0.05,0,0
2541,29,-1,-1,0.05,0,0
2541,30,-1,-1,0.05,0,0
2542,31,-1,-1,0.05,0,0
2542,32,-1,-1,0.05,0,0
2542,33,-1,-1,0.05,0,0
2543,34,-1,-1,0.05,0,0
2543,35,-1,-1,0.05,0,0
2543,36,-1,-1,0.05,0,0
2544,37,-1,-1,0.05,0,0
2544,38,-1,-1,0.05,0,0
2544,39,-1,-1,0.05,0,0
2545,40,-1,-1,0.05,0,0
2545,41,-1,-1,0.05,0,0
2545,42,-1,-1,0.05,0,0
2546,43,-1,-1,0.05,0,0
2546,44,-1,-1,0.05,0,0
2546,45,-1,-1,0.05,0,0
2547,46,-1,-1,0.05,0,0
2547,47,-1,-1,0.05,0,0
2547,48,-1,-1,0.05,0,0
2548,49,-1,-1,0.05,0,0
2548,50,-1,-1,0.05,0,0
2548,51,-1,-1,0.05,0,0
2549,52,-1,-1,0.05,0,0
2549,53,-1,-1,0.05,0,0
2549,54,-1,-1,0.05,0,0
2550,55,-1,-1,0.05,0,0
2550,56,-1,-1,0.05,0,0
2550,57,-1,-1,0.05,0,0
2551,58,-1,-1,0.05,0,0
2551,59,-1,-1,0.05,0,0
2551,60,-1,-1,0.05,0,0
2552,61,-1,-1,0.05,0,0
2552,62,-1,-1,0.05,0,0
2552,63,-1,-1,0.05,0,0
2553,64,-1,-1,0.05,0,0
2553,65,-1,-1,0.05,0,0
2553,66,-1,-1,0.05,0,0
2554,67,-1,-1,0.05,0,0
2554,68,-1,-1,0.05,0,0
2554,69,-1,-1,0.05,0,0
2555,70,-1,-1,0.05,0,0
2555,71,-1,-1,0.05,0,0
2555,72,-1,-1,0.05,0,0
2556,73,-1,-1,0.05,0,0
2556,74,-1,-1,0.05,0,0
2556,75,-1,-1,0.05,0,0
2557,76,-1,-1,0.05,0,0
2557,77,-1,-1,0.05,0,0
2557,78,-1,-1,0.05,0,0
2558,79,-1,-1,0.05,0,0
2558,80,-1,-1,0.05,0,0
2558,81,-1,-1,0.05,0,0
2559,82,-1,-1,0.05,0,0
2559,83,-1,-1,0.05,0,0
2559,84,-1,-1,0.05,0,0
2560,85,-1,-1,0.05,0,0
2560,86,-1,-1,0.05,0,0
2560,87,-1,-1,0.05,0,0
2561,88,-1,-1,0.05,0,0
