QtBids,QBid1,QBid2,Tau,ForTime
3383,9619,9619,2,2
3383,9619,9620,2,3
3383,9620,9620,3,3
3383,9619,9621,2,4
3383,9620,9621,3,4
3383,9621,9621,4,4
3384,9622,9622,2,2
3384,9622,9623,2,3
3384,9623,9623,3,3
3384,9622,9624,2,4
3384,9623,9624,3,4
3384,9624,9624,4,4
3385,9625,9625,2,2
3385,9625,9626,2,3
3385,9626,9626,3,3
3385,9625,9627,2,4
3385,9626,9627,3,4
3385,9627,9627,4,4
3386,9628,9628,2,2
3386,9628,9629,2,3
3386,9629,9629,3,3
3386,9628,9630,2,4
3386,9629,9630,3,4
3386,9630,9630,4,4
3387,9631,9631,2,2
3387,9631,9632,2,3
3387,9632,9632,3,3
3387,9631,9633,2,4
3387,9632,9633,3,4
3387,9633,9633,4,4
3388,9634,9634,2,2
3388,9634,9635,2,3
3388,9635,9635,3,3
3388,9634,9636,2,4
3388,9635,9636,3,4
3388,9636,9636,4,4
3389,9637,9637,2,2
3389,9637,9638,2,3
3389,9638,9638,3,3
3389,9637,9639,2,4
3389,9638,9639,3,4
3389,9639,9639,4,4
3390,9640,9640,2,2
3390,9640,9641,2,3
3390,9641,9641,3,3
3390,9640,9642,2,4
3390,9641,9642,3,4
3390,9642,9642,4,4
3391,9643,9643,2,2
3391,9643,9644,2,3
3391,9644,9644,3,3
3391,9643,9645,2,4
3391,9644,9645,3,4
3391,9645,9645,4,4
3392,9646,9646,2,2
3392,9646,9647,2,3
3392,9647,9647,3,3
3392,9646,9648,2,4
3392,9647,9648,3,4
3392,9648,9648,4,4
3393,9649,9649,2,2
3393,9649,9650,2,3
3393,9650,9650,3,3
3393,9649,9651,2,4
3393,9650,9651,3,4
3393,9651,9651,4,4
3394,9652,9652,2,2
3394,9652,9653,2,3
3394,9653,9653,3,3
3394,9652,9654,2,4
3394,9653,9654,3,4
3394,9654,9654,4,4
3395,9655,9655,2,2
3395,9655,9656,2,3
3395,9656,9656,3,3
3395,9655,9657,2,4
3395,9656,9657,3,4
3395,9657,9657,4,4
3396,9658,9658,2,2
3396,9658,9659,2,3
3396,9659,9659,3,3
3396,9658,9660,2,4
3396,9659,9660,3,4
3396,9660,9660,4,4
3397,9661,9661,2,2
3397,9661,9662,2,3
3397,9662,9662,3,3
3397,9661,9663,2,4
3397,9662,9663,3,4
3397,9663,9663,4,4
3398,9664,9664,2,2
3398,9664,9665,2,3
3398,9665,9665,3,3
3398,9664,9666,2,4
3398,9665,9666,3,4
3398,9666,9666,4,4
3399,9667,9667,2,2
3399,9667,9668,2,3
3399,9668,9668,3,3
3399,9667,9669,2,4
3399,9668,9669,3,4
3399,9669,9669,4,4
3400,9670,9670,2,2
3400,9670,9671,2,3
3400,9671,9671,3,3
3400,9670,9672,2,4
3400,9671,9672,3,4
3400,9672,9672,4,4
