Node,forT,P,Q,ValueP,ValueQ
14,2,0,0,500,500
14,3,0,0,500,500
14,4,0,0,500,500
50,2,0.15,0,500,500
50,3,0.15,0,500,500
50,4,0.15,0,500,500
51,2,0,0,500,500
51,3,0,0,500,500
51,4,0,0,500,500
52,2,0,0,500,500
52,3,0,0,500,500
52,4,0,0,500,500
53,2,0,0,500,500
53,3,0,0,500,500
53,4,0,0,500,500
54,2,439,0,500,500
54,3,439,0,500,500
54,4,439,0,500,500
55,2,0,0,500,500
55,3,0,0,500,500
55,4,0,0,500,500
56,2,0,0,500,500
56,3,0,0,500,500
56,4,0,0,500,500
57,2,0,0,500,500
57,3,0,0,500,500
57,4,0,0,500,500
58,2,0,0,500,500
58,3,0,0,500,500
58,4,0,0,500,500
59,2,0,0,500,500
59,3,0,0,500,500
59,4,0,0,500,500
60,2,0,0,500,500
60,3,0,0,500,500
60,4,0,0,500,500
61,2,0,0,500,500
61,3,0,0,500,500
61,4,0,0,500,500
62,2,50,0,500,500
62,3,50,0,500,500
62,4,50,0,500,500
63,2,0,0,500,500
63,3,0,0,500,500
63,4,0,0,500,500
64,2,0,0,500,500
64,3,0,0,500,500
64,4,0,0,500,500
65,2,0,0,500,500
65,3,0,0,500,500
65,4,0,0,500,500
66,2,0,0,500,500
66,3,0,0,500,500
66,4,0,0,500,500
67,2,0,0,500,500
67,3,0,0,500,500
67,4,0,0,500,500
68,2,0,0,500,500
68,3,0,0,500,500
68,4,0,0,500,500
69,2,0,0,500,500
69,3,0,0,500,500
69,4,0,0,500,500
70,2,0,0,500,500
70,3,0,0,500,500
70,4,0,0,500,500
71,2,0,0,500,500
71,3,0,0,500,500
71,4,0,0,500,500
72,2,0,0,500,500
72,3,0,0,500,500
72,4,0,0,500,500
73,2,0,0,500,500
73,3,0,0,500,500
73,4,0,0,500,500
74,2,30,0,500,500
74,3,30,0,500,500
74,4,30,0,500,500
75,2,0,0,500,500
75,3,0,0,500,500
75,4,0,0,500,500
76,2,0,0,500,500
76,3,0,0,500,500
76,4,0,0,500,500
77,2,0,0,500,500
77,3,0,0,500,500
77,4,0,0,500,500
78,2,0,0,500,500
78,3,0,0,500,500
78,4,0,0,500,500
79,2,0,0,500,500
79,3,0,0,500,500
79,4,0,0,500,500
82,2,-9.871694708,0,500,500
82,3,-9.828560553,0,500,500
82,4,-9.785426399,0,500,500
83,2,0,0,500,500
83,3,0,0,500,500
83,4,0,0,500,500
84,2,0,0,500,500
84,3,0,0,500,500
84,4,0,0,500,500
85,2,0,0,500,500
85,3,0,0,500,500
85,4,0,0,500,500
86,2,0,0,500,500
86,3,0,0,500,500
86,4,0,0,500,500
87,2,0,0,500,500
87,3,0,0,500,500
87,4,0,0,500,500
88,2,0,0,500,500
