QtBids,QBid,RampConstr,RCFrom,RCTo,RCRealPowerIncr,RCMin
2241,6193,35,-1,-1,532,0
2241,6194,35,-1,-1,532,0
2241,6195,35,-1,-1,532,0
2241,6193,36,-1,-1,-532,1
2241,6194,36,-1,-1,-532,1
2241,6195,36,-1,-1,-532,1
2299,6367,151,-1,-1,428,0
2299,6368,151,-1,-1,428,0
2299,6369,151,-1,-1,428,0
2299,6367,152,-1,-1,-428,1
2299,6368,152,-1,-1,-428,1
2299,6369,152,-1,-1,-428,1
2300,6370,153,-1,-1,11,0
2300,6371,153,-1,-1,11,0
2300,6372,153,-1,-1,11,0
2300,6370,154,-1,-1,-11,1
2300,6371,154,-1,-1,-11,1
2300,6372,154,-1,-1,-11,1
2301,6373,155,-1,-1,50,0
2301,6374,155,-1,-1,50,0
2301,6375,155,-1,-1,50,0
2301,6373,156,-1,-1,-50,1
2301,6374,156,-1,-1,-50,1
2301,6375,156,-1,-1,-50,1
2302,6376,157,-1,-1,30,0
2302,6377,157,-1,-1,30,0
2302,6378,157,-1,-1,30,0
2302,6376,158,-1,-1,-30,1
2302,6377,158,-1,-1,-30,1
2302,6378,158,-1,-1,-30,1
2303,6379,159,-1,-1,15,0
2303,6380,159,-1,-1,15,0
2303,6381,159,-1,-1,15,0
2303,6379,160,-1,-1,-15,1
2303,6380,160,-1,-1,-15,1
2303,6381,160,-1,-1,-15,1
2304,6382,161,-1,-1,226,0
2304,6383,161,-1,-1,226,0
2304,6384,161,-1,-1,226,0
2304,6382,162,-1,-1,-226,1
2304,6383,162,-1,-1,-226,1
2304,6384,162,-1,-1,-226,1
2305,6385,163,-1,-1,9.26,0
2305,6386,163,-1,-1,9.26,0
2305,6387,163,-1,-1,9.26,0
2305,6385,164,-1,-1,-9.26,1
2305,6386,164,-1,-1,-9.26,1
2305,6387,164,-1,-1,-9.26,1
2242,6196,37,-1,-1,266,0
2242,6197,37,-1,-1,266,0
2242,6198,37,-1,-1,266,0
2242,6196,38,-1,-1,-266,1
2242,6197,38,-1,-1,-266,1
2242,6198,38,-1,-1,-266,1
2360,6550,273,-1,-1,18,0
2360,6551,273,-1,-1,18,0
