Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,AlphaOmegaSet,NoNewAct
195,108353,292129,344948,68,0,31.76059555,-0.03584574,31.76059555,1,1,0,0
195,108354,292130,344949,68,0,45.62061157,0.01306858,45.62061157,1,1,0,0
195,108355,292131,344950,68,0,30.61526388,-0.026827806,30.61526388,1,1,0,0
195,108356,292132,344951,68,0,40.79874224,0.041780794,40.79874224,1,1,0,0
195,108357,292133,344952,68,0,32.06075876,-0.053020046,32.06075876,1,1,0,0
195,108358,292134,344953,68,0,41.96423725,0.028394864,41.96423725,1,1,0,0
342,108359,292135,344954,68,0,28.59484118,-0.011366,28.59484118,1,1,0,0
342,108360,292136,344955,68,0,22.70118107,-0.00092137,22.70118107,1,1,0,0
342,108361,292137,344956,68,0,27.49597763,-0.013735476,27.49597763,1,1,0,0
342,108362,292138,344957,68,0,43.76067173,0.004752612,43.76067173,1,1,0,0
342,108363,292139,344958,68,0,28.3731717,-0.016780218,28.3731717,1,1,0,0
342,108364,292140,344959,68,0,46.17767252,0.009752,46.17767252,1,1,0,0
1406,108365,292141,344960,68,0,29.77978257,-0.01645643,29.77978257,1,1,0,0
1406,108366,292142,344961,68,0,47.23184244,0.00428643,47.23184244,1,1,0,0
1406,108367,292143,344962,68,0,28.64021856,-0.013655724,28.64021856,1,1,0,0
1406,108368,292144,344963,68,0,43.84240003,0.012453444,43.84240003,1,1,0,0
1406,108369,292145,344964,68,0,29.37090746,-0.016138774,29.37090746,1,1,0,0
1406,108370,292146,344965,68,0,46.22588699,0.010575784,46.22588699,1,1,0,0
1459,108371,292147,344966,68,0,16.32747606,-0.003946934,16.32747606,1,1,0,0
1459,108372,292148,344967,68,0,53.41713005,0.001183114,53.41713005,1,1,0,0
1459,108373,292149,344968,68,0,55.66080881,0.00380137,55.66080881,1,1,0,0
1459,108374,292150,344969,68,0,54.6049036,0.002990702,54.6049036,1,1,0,0
1459,108375,292151,344970,68,0,55.64322061,0.00399726,55.64322061,1,1,0,0
1459,108376,292152,344971,68,0,56.17853445,0.00239023,56.17853445,1,1,0,0
1468,108377,292153,344972,68,0,29.89958239,-0.02164387,29.89958239,1,1,0,0
1468,108378,292154,344973,68,0,47.74271577,0.00908972,47.74271577,1,1,0,0
1468,108379,292155,344974,68,0,31.30300139,-0.027006952,31.30300139,1,1,0,0
1468,108380,292156,344975,68,0,42.49318764,0.019980486,42.49318764,1,1,0,0
1468,108381,292157,344976,68,0,30.58377603,-0.025912106,30.58377603,1,1,0,0
1468,108382,292158,344977,68,0,41.61615853,0.028606954,41.61615853,1,1,0,0
1490,108383,292159,344978,68,0,28.78451778,-0.01254471,28.78451778,1,1,0,0
1490,108384,292160,344979,68,0,39.84911737,0.01540129,39.84911737,1,1,0,0
1490,108385,292161,344980,68,0,27.50763838,-0.01231114,27.50763838,1,1,0,0
1490,108386,292162,344981,68,0,45.05821861,0.009114612,45.05821861,1,1,0,0
1490,108387,292163,344982,68,0,30.36772373,-0.022153514,30.36772373,1,1,0,0
1490,108388,292164,344983,68,0,45.00059052,0.009223726,45.00059052,1,1,0,0
1517,108389,292165,344984,68,0,25.24022707,-0.01011671,25.24022707,1,1,0,0
