ID,QtBid,QPHPFrom,QPHPTo,QPHPSlope,QPHPOffset,QPHPConstr
102751,111452,-1,-1,0.05,0,0
102752,111452,-1,-1,0.05,0,0
102753,111452,-1,-1,0.05,0,0
102754,111453,-1,-1,0.05,0,0
102755,111453,-1,-1,0.05,0,0
102756,111453,-1,-1,0.05,0,0
102757,111454,-1,-1,0.05,0,0
102758,111454,-1,-1,0.05,0,0
102759,111454,-1,-1,0.05,0,0
102760,111455,-1,-1,0.05,0,0
102761,111455,-1,-1,0.05,0,0
102762,111455,-1,-1,0.05,0,0
102763,111456,-1,-1,0.05,0,0
102764,111456,-1,-1,0.05,0,0
102765,111456,-1,-1,0.05,0,0
102766,111457,-1,-1,0.05,0,0
102767,111457,-1,-1,0.05,0,0
102768,111457,-1,-1,0.05,0,0
102769,111458,-1,-1,0.05,0,0
102770,111458,-1,-1,0.05,0,0
102771,111458,-1,-1,0.05,0,0
102772,111459,-1,-1,0.05,0,0
102773,111459,-1,-1,0.05,0,0
102774,111459,-1,-1,0.05,0,0
102775,111460,-1,-1,0.05,0,0
102776,111460,-1,-1,0.05,0,0
102777,111460,-1,-1,0.05,0,0
102778,111461,-1,-1,0.05,0,0
102779,111461,-1,-1,0.05,0,0
102780,111461,-1,-1,0.05,0,0
102781,111462,-1,-1,0.05,0,0
102782,111462,-1,-1,0.05,0,0
102783,111462,-1,-1,0.05,0,0
102784,111463,-1,-1,0.05,0,0
102785,111463,-1,-1,0.05,0,0
102786,111463,-1,-1,0.05,0,0
102787,111464,-1,-1,0.05,0,0
102788,111464,-1,-1,0.05,0,0
102789,111464,-1,-1,0.05,0,0
102790,111465,-1,-1,0.05,0,0
102791,111465,-1,-1,0.05,0,0
102792,111465,-1,-1,0.05,0,0
102793,111466,-1,-1,0.05,0,0
102794,111466,-1,-1,0.05,0,0
102795,111466,-1,-1,0.05,0,0
102796,111467,-1,-1,0.05,0,0
102797,111467,-1,-1,0.05,0,0
102798,111467,-1,-1,0.05,0,0
102799,111468,-1,-1,0.05,0,0
102800,111468,-1,-1,0.05,0,0
102801,111468,-1,-1,0.05,0,0
102802,111469,-1,-1,0.05,0,0
102803,111469,-1,-1,0.05,0,0
102804,111469,-1,-1,0.05,0,0
102805,111470,-1,-1,0.05,0,0
102806,111470,-1,-1,0.05,0,0
102807,111470,-1,-1,0.05,0,0
102808,111471,-1,-1,0.05,0,0
102809,111471,-1,-1,0.05,0,0
102810,111471,-1,-1,0.05,0,0
102811,111472,-1,-1,0.05,0,0
102812,111472,-1,-1,0.05,0,0
102813,111472,-1,-1,0.05,0,0
102814,111473,-1,-1,0.05,0,0
102815,111473,-1,-1,0.05,0,0
102816,111473,-1,-1,0.05,0,0
102817,111474,-1,-1,0.05,0,0
102818,111474,-1,-1,0.05,0,0
102819,111474,-1,-1,0.05,0,0
102820,111475,-1,-1,0.05,0,0
102821,111475,-1,-1,0.05,0,0
102822,111475,-1,-1,0.05,0,0
102823,111476,-1,-1,0.05,0,0
102824,111476,-1,-1,0.05,0,0
102825,111476,-1,-1,0.05,0,0
102826,111477,-1,-1,0.05,0,0
102827,111477,-1,-1,0.05,0,0
102828,111477,-1,-1,0.05,0,0
102829,111478,-1,-1,0.05,0,0
102830,111478,-1,-1,0.05,0,0
102831,111478,-1,-1,0.05,0,0
102832,111479,-1,-1,0.05,0,0
102833,111479,-1,-1,0.05,0,0
102834,111479,-1,-1,0.05,0,0
102835,111480,-1,-1,0.05,0,0
102836,111480,-1,-1,0.05,0,0
102837,111480,-1,-1,0.05,0,0
102838,111481,-1,-1,0.05,0,0
102839,111481,-1,-1,0.05,0,0
102840,111481,-1,-1,0.05,0,0
102841,111482,-1,-1,0.05,0,0
102842,111482,-1,-1,0.05,0,0
102843,111482,-1,-1,0.05,0,0
102844,111483,-1,-1,0.05,0,0
102845,111483,-1,-1,0.05,0,0
102846,111483,-1,-1,0.05,0,0
102847,111484,-1,-1,0.05,0,0
102848,111484,-1,-1,0.05,0,0
102849,111484,-1,-1,0.05,0,0
102850,111485,-1,-1,0.05,0,0
102851,111485,-1,-1,0.05,0,0
102852,111485,-1,-1,0.05,0,0
102853,111486,-1,-1,0.05,0,0
102854,111486,-1,-1,0.05,0,0
102855,111486,-1,-1,0.05,0,0
102856,111487,-1,-1,0.05,0,0
102857,111487,-1,-1,0.05,0,0
102858,111487,-1,-1,0.05,0,0
102859,111488,-1,-1,0.05,0,0
102860,111488,-1,-1,0.05,0,0
102861,111488,-1,-1,0.05,0,0
102862,111489,-1,-1,0.05,0,0
102863,111489,-1,-1,0.05,0,0
102864,111489,-1,-1,0.05,0,0
102865,111490,-1,-1,0.05,0,0
102866,111490,-1,-1,0.05,0,0
102867,111490,-1,-1,0.05,0,0
102868,111491,-1,-1,0.05,0,0
102869,111491,-1,-1,0.05,0,0
102870,111491,-1,-1,0.05,0,0
102871,111492,-1,-1,0.05,0,0
102872,111492,-1,-1,0.05,0,0
102873,111492,-1,-1,0.05,0,0
102874,111493,-1,-1,0.05,0,0
102875,111493,-1,-1,0.05,0,0
102876,111493,-1,-1,0.05,0,0
102877,111494,-1,-1,0.05,0,0
102878,111494,-1,-1,0.05,0,0
102879,111494,-1,-1,0.05,0,0
102880,111495,-1,-1,0.05,0,0
102881,111495,-1,-1,0.05,0,0
102882,111495,-1,-1,0.05,0,0
102883,111496,-1,-1,0.05,0,0
102884,111496,-1,-1,0.05,0,0
102885,111496,-1,-1,0.05,0,0
102886,111497,-1,-1,0.05,0,0
102887,111497,-1,-1,0.05,0,0
102888,111497,-1,-1,0.05,0,0
102889,111498,-1,-1,0.05,0,0
102890,111498,-1,-1,0.05,0,0
102891,111498,-1,-1,0.05,0,0
102892,111499,-1,-1,0.05,0,0
102893,111499,-1,-1,0.05,0,0
102894,111499,-1,-1,0.05,0,0
102895,111500,-1,-1,0.05,0,0
102896,111500,-1,-1,0.05,0,0
102897,111500,-1,-1,0.05,0,0
102898,111501,-1,-1,0.05,0,0
102899,111501,-1,-1,0.05,0,0
102900,111501,-1,-1,0.05,0,0
102901,111502,-1,-1,0.05,0,0
102902,111502,-1,-1,0.05,0,0
102903,111502,-1,-1,0.05,0,0
102904,111503,-1,-1,0.05,0,0
102905,111503,-1,-1,0.05,0,0
102906,111503,-1,-1,0.05,0,0
102907,111504,-1,-1,0.05,0,0
102908,111504,-1,-1,0.05,0,0
102909,111504,-1,-1,0.05,0,0
102910,111505,-1,-1,0.05,0,0
102911,111505,-1,-1,0.05,0,0
102912,111505,-1,-1,0.05,0,0
102913,111506,-1,-1,0.05,0,0
102914,111506,-1,-1,0.05,0,0
102915,111506,-1,-1,0.05,0,0
102916,111507,-1,-1,0.05,0,0
102917,111507,-1,-1,0.05,0,0
102918,111507,-1,-1,0.05,0,0
102919,111508,-1,-1,0.05,0,0
102920,111508,-1,-1,0.05,0,0
102921,111508,-1,-1,0.05,0,0
102922,111509,-1,-1,0.05,0,0
102923,111509,-1,-1,0.05,0,0
102924,111509,-1,-1,0.05,0,0
102925,111510,-1,-1,0.05,0,0
102926,111510,-1,-1,0.05,0,0
102927,111510,-1,-1,0.05,0,0
102928,111511,-1,-1,0.05,0,0
102929,111511,-1,-1,0.05,0,0
102930,111511,-1,-1,0.05,0,0
102931,111512,-1,-1,0.05,0,0
102932,111512,-1,-1,0.05,0,0
102933,111512,-1,-1,0.05,0,0
102934,111513,-1,-1,0.05,0,0
102935,111513,-1,-1,0.05,0,0
102936,111513,-1,-1,0.05,0,0
105304,112303,-1,-1,0.141539,0,1
105305,112303,-1,-1,0.141539,0,0
105306,112304,-1,-1,0.141539,0,1
105307,112304,-1,-1,0.141539,0,0
102937,111514,-1,-1,0.05,0,0
102938,111514,-1,-1,0.05,0,0
102939,111514,-1,-1,0.05,0,0
102940,111515,-1,-1,0.05,0,0
102941,111515,-1,-1,0.05,0,0
102942,111515,-1,-1,0.05,0,0
102943,111516,-1,-1,0.05,0,0
102944,111516,-1,-1,0.05,0,0
102945,111516,-1,-1,0.05,0,0
102946,111517,-1,-1,0.05,0,0
102947,111517,-1,-1,0.05,0,0
102948,111517,-1,-1,0.05,0,0
105308,112305,-1,-1,0.141539,0,1
105309,112305,-1,-1,0.141539,0,0
105310,112306,-1,-1,0.141539,0,1
105311,112306,-1,-1,0.141539,0,0
105312,112307,-1,-1,0.141539,0,1
105313,112307,-1,-1,0.141539,0,0
102949,111518,-1,-1,0.05,0,0
102950,111518,-1,-1,0.05,0,0
102951,111518,-1,-1,0.05,0,0
102952,111519,-1,-1,0.05,0,0
102953,111519,-1,-1,0.05,0,0
102954,111519,-1,-1,0.05,0,0
105314,112308,-1,-1,0.141539,0,1
105315,112308,-1,-1,0.141539,0,0
105316,112309,-1,-1,0.141539,0,1
105317,112309,-1,-1,0.141539,0,0
102955,111520,-1,-1,0.05,0,0
102956,111520,-1,-1,0.05,0,0
102957,111520,-1,-1,0.05,0,0
105318,112310,-1,-1,0.141539,0,1
105319,112310,-1,-1,0.141539,0,0
105320,112311,-1,-1,0.141539,0,1
105321,112311,-1,-1,0.141539,0,0
102958,111521,-1,-1,0.05,0,0
102959,111521,-1,-1,0.05,0,0
102960,111521,-1,-1,0.05,0,0
105322,112312,-1,-1,0.141539,0,1
105323,112312,-1,-1,0.141539,0,0
105324,112313,-1,-1,0.141539,0,1
105325,112313,-1,-1,0.141539,0,0
102961,111522,-1,-1,0.05,0,0
102962,111522,-1,-1,0.05,0,0
102963,111522,-1,-1,0.05,0,0
102964,111523,-1,-1,0.05,0,0
102965,111523,-1,-1,0.05,0,0
102966,111523,-1,-1,0.05,0,0
105326,112314,-1,-1,0.141539,0,1
105327,112314,-1,-1,0.141539,0,0
105328,112315,-1,-1,0.141539,0,1
105329,112315,-1,-1,0.141539,0,0
105330,112316,-1,-1,0.141539,0,1
105331,112316,-1,-1,0.141539,0,0
102967,111524,-1,-1,0.05,0,0
102968,111524,-1,-1,0.05,0,0
102969,111524,-1,-1,0.05,0,0
105332,112317,-1,-1,0.141539,0,1
105333,112317,-1,-1,0.141539,0,0
105334,112318,-1,-1,0.141539,0,1
105335,112318,-1,-1,0.141539,0,0
102970,111525,-1,-1,0.05,0,0
