Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,AlphaOmegaSet,NoNewAct,solution
1468,91,271,271,1,0,-36,-0.013695333,-36,1,1,0,0,2.16E-07
1468,92,272,272,1,0,36,0.018788667,36,1,1,0,0,1
1537,93,273,273,1,0,-36,-0.011630667,-36,1,1,0,0,2.49E-07
1537,94,274,274,1,0,36,0.015202,36,1,1,0,0,1
10060114,95,275,275,1,0,-36,-0.0106064,-36,1,1,0,0,2.77E-07
10060114,96,276,276,1,0,36,0.011017067,36,1,1,0,0,1
1468,97,277,277,1,0,25.1,0.0735,25.1,0,1,0,0,1
1468,97,277,278,1,0,-4.7,-4.27579711,-4.7,0,1,0,0,3.21E-10
1468,97,277,279,1,-4.27579711,-3,-21.32645459,-3,0,1,0,0,7.83E-11
1468,97,278,280,2,0,25.1,0.0735,25.1,0,1,0,0,1
1468,97,278,281,2,0,-4.7,-4.67386015,-4.7,0,1,0,0,2.95E-10
1468,97,278,282,2,-4.67386015,-3,-23.30873185,-3,0,1,0,0,7.21E-11
1468,97,279,283,3,0,25.1,0.0735,25.1,0,1,0,0,1
1468,97,279,284,3,0,-4.7,-5.282503896,-4.7,0,1,0,0,2.60E-10
1468,97,279,285,3,-5.282503896,-3,-26.33957128,-3,0,1,0,0,6.35E-11
1468,97,280,286,4,0,-25.1,-0.245,-25.1,0,1,0,0,0
1468,97,280,287,4,-0.245,-25.1,-6.517020276,-25.1,0,1,0,0,0
1468,97,280,288,4,-6.517020276,-25.1,-31.47566379,-25.1,0,1,0,0,0
1468,97,280,289,4,-31.47566379,-25.1,-31.5040436,-25.1,0,1,0,0,0
1468,97,280,290,4,-31.5040436,-25.1,-31.5068069,-25.1,0,1,0,0,0
1468,97,280,291,4,-31.5068069,-25.1,-31.50912209,-25.1,0,1,0,0,8.97E-07
1537,98,281,292,1,0,25.1,0.0945,25.1,0,1,0,0,1
1537,98,281,293,1,0,-4.7,-14.90101813,-4.7,0,1,0,0,9.20E-11
1537,98,281,294,1,-14.90101813,-3,-58.57486589,-3,0,1,0,0,3.06E-11
