Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,AlphaOmegaSet,NoNewAct
1468,91,271,271,1,0,-36,-0.0137,-36,1,1,0,0
1468,92,272,272,1,0,36,0.0188,36,1,1,0,0
1468,97,277,277,1,0,25.1,0.0735,25.1,0,1,0,0
1468,97,277,278,1,0,-4.7,-4.28,-4.7,0,1,0,0
1468,97,277,279,1,-4.28,-3,-21.3,-3,0,1,0,0
1468,97,278,280,2,0,25.1,0.0735,25.1,0,1,0,0
1468,97,278,281,2,0,-4.7,-4.67,-4.7,0,1,0,0
1468,97,278,282,2,-4.67,-3,-23.3,-3,0,1,0,0
1468,97,279,283,3,0,25.1,0.0735,25.1,0,1,0,0
1468,97,279,284,3,0,-4.7,-5.28,-4.7,0,1,0,0
1468,97,279,285,3,-5.28,-3,-26.3,-3,0,1,0,0
1468,97,280,286,4,0,-25.1,-0.245,-25.1,0,1,0,0
1468,97,280,287,4,-0.245,-25.1,-6.52,-25.1,0,1,0,0
1468,97,280,288,4,-6.52,-25.1,-31.5,-25.1,0,1,0,0
1468,97,280,289,4,-31.5,-25.1,-31.5,-25.1,0,1,0,0
1468,97,280,290,4,-31.5,-25.1,-31.5,-25.1,0,1,0,0
1468,97,280,291,4,-31.5,-25.1,-31.5,-25.1,0,1,0,0
1468,264,945,1139,1,0,50,0.0784,50,0,1,0,0
1468,264,945,1140,1,0,-50,-0.041,-50,0,1,0,0
1468,264,946,1141,2,0,50,0.0784,50,0,1,0,0
1468,264,946,1142,2,0,-50,-0.041,-50,0,1,0,0
1468,264,947,1143,3,0,50,0.0784,50,0,1,0,0
1468,264,947,1144,3,0,-50,-0.041,-50,0,1,0,0
1468,264,948,1145,4,0,50,0.0784,50,0,1,0,0
1468,264,948,1146,4,0,-50,-0.041,-50,0,1,0,0
1468,268,961,1167,1,0,50,0.00165,50,0,1,0,0
1468,268,962,1168,2,0,50,0.00165,50,0,1,0,0
1468,268,963,1169,3,0,50,0.00165,50,0,1,0,0
1468,268,964,1170,4,0,50,0.00165,50,0,1,0,0
1468,272,977,1187,1,0,50,0.00322,50,0,1,0,0
1468,272,977,1188,1,0,-50,-0.00638,-50,0,1,0,0
1468,272,978,1189,2,0,50,0.00322,50,0,1,0,0
1468,272,978,1190,2,0,-50,-0.00638,-50,0,1,0,0
1468,272,979,1191,3,0,50,0.00322,50,0,1,0,0
1468,272,979,1192,3,0,-50,-0.00638,-50,0,1,0,0
1468,272,980,1193,4,0,50,0.00322,50,0,1,0,0
1468,272,980,1194,4,0,-50,-0.00638,-50,0,1,0,0
1468,281,1013,1239,1,0,50,0.482,50,0,1,0,0
1468,281,1014,1240,2,0,50,0.482,50,0,1,0,0
1468,281,1015,1241,3,0,50,0.482,50,0,1,0,0
1468,281,1016,1242,4,0,50,0.482,50,0,1,0,0
1468,320,1169,1387,1,0,-58.7,-1.59,-58.7,0,1,0,0
1468,320,1169,1388,1,0,78.7,1.08,78.7,0,1,0,0
1468,320,1170,1389,2,0,-58.7,-1.53,-58.7,0,1,0,0
1468,320,1170,1390,2,0,78.7,1.01,78.7,0,1,0,0
1468,320,1171,1391,3,0,-58.7,-1.54,-58.7,0,1,0,0
1468,320,1171,1392,3,0,78.7,1.08,78.7,0,1,0,0
1468,320,1172,1393,4,0,-58.7,-1.12,-58.7,0,1,0,0
1468,320,1172,1394,4,0,78.7,0.887,78.7,0,1,0,0
1468,337,1237,1523,1,0,10.9,-0.265,10.9,1,1,1,0
1468,337,1238,1524,2,0,0,0.137,0,1,1,1,1
1468,337,1239,1525,3,0,0,0.037,0,1,1,1,1
1468,337,1240,1526,4,0,0,0.0146,0,1,1,1,1
1468,338,1241,1527,1,0,28.6,0.14,28.6,1,1,1,0
1468,338,1242,1528,2,0,0,-0.0891,0,1,1,1,1
1468,338,1243,1529,3,0,0,-0.00818,0,1,1,1,1
1468,338,1244,1530,4,0,0,-0.00671,0,1,1,1,1
1468,339,1245,1531,1,0,10.9,-0.265,10.9,1,1,1,0
1468,339,1246,1532,2,0,17.6,-0.267,17.6,1,1,1,1
1468,339,1247,1533,3,0,0,0.135,0,1,1,1,1
1468,339,1248,1534,4,0,0,0.121,0,1,1,1,1
1468,340,1249,1535,1,0,36.8,0.14,36.8,1,1,1,0
1468,340,1250,1536,2,0,43.7,0.138,43.7,1,1,1,1
1468,340,1251,1537,3,0,0,-0.154,0,1,1,1,1
1468,340,1252,1538,4,0,0,-0.0199,0,1,1,1,1
1468,341,1253,1539,1,0,10.9,-0.265,10.9,1,1,1,0
1468,341,1254,1540,2,0,17.6,-0.267,17.6,1,1,1,1
