QtBid,QBids,QPDCID,QPDFrom,QPDTo,QPDMax
264,945,16,-1,-1,0.1791
264,946,16,-1,-1,0.1791
264,947,16,-1,-1,0.1791
264,948,16,-1,-1,0.1791
268,961,20,-1,-1,0.002475
268,962,20,-1,-1,0.002475
268,963,20,-1,-1,0.002475
268,964,20,-1,-1,0.002475
272,977,24,-1,-1,0.0144
272,978,24,-1,-1,0.0144
272,979,24,-1,-1,0.0144
272,980,24,-1,-1,0.0144
281,1013,33,-1,-1,0.72225
281,1014,33,-1,-1,0.72225
281,1015,33,-1,-1,0.72225
281,1016,33,-1,-1,0.72225
250,889,2,-1,-1,0.9585
250,890,2,-1,-1,0.9585
250,891,2,-1,-1,0.9585
250,892,2,-1,-1,0.9585
253,901,5,-1,-1,0.9855
253,902,5,-1,-1,0.9855
253,903,5,-1,-1,0.9855
253,904,5,-1,-1,0.9855
254,905,6,-1,-1,0.4491
254,906,6,-1,-1,0.4491
254,907,6,-1,-1,0.4491
254,908,6,-1,-1,0.4491
255,909,7,-1,-1,0.54
255,910,7,-1,-1,0.54
255,911,7,-1,-1,0.54
255,912,7,-1,-1,0.54
261,933,13,-1,-1,0.44775
261,934,13,-1,-1,0.44775
261,935,13,-1,-1,0.44775
261,936,13,-1,-1,0.44775
262,937,14,-1,-1,0.44775
262,938,14,-1,-1,0.44775
262,939,14,-1,-1,0.44775
262,940,14,-1,-1,0.44775
266,953,18,-1,-1,0.03105
266,954,18,-1,-1,0.03105
266,955,18,-1,-1,0.03105
266,956,18,-1,-1,0.03105
282,1017,34,-1,-1,0.00225
282,1018,34,-1,-1,0.00225
282,1019,34,-1,-1,0.00225
282,1020,34,-1,-1,0.00225
284,1025,35,-1,-1,0.002475
284,1026,35,-1,-1,0.002475
284,1027,35,-1,-1,0.002475
284,1028,35,-1,-1,0.002475
285,1029,36,-1,-1,0.002475
285,1030,36,-1,-1,0.002475
285,1031,36,-1,-1,0.002475
285,1032,36,-1,-1,0.002475
288,1041,39,-1,-1,0.0198
288,1042,39,-1,-1,0.0198
288,1043,39,-1,-1,0.0198
288,1044,39,-1,-1,0.0198
289,1045,40,-1,-1,1.7496
289,1046,40,-1,-1,1.7496
289,1047,40,-1,-1,1.7496
289,1048,40,-1,-1,1.7496
294,1065,45,-1,-1,0.44955
294,1066,45,-1,-1,0.44955
294,1067,45,-1,-1,0.44955
294,1068,45,-1,-1,0.44955
295,1069,46,-1,-1,1.0449
295,1070,46,-1,-1,1.0449
295,1071,46,-1,-1,1.0449
295,1072,46,-1,-1,1.0449
298,1081,49,-1,-1,0.44775
298,1082,49,-1,-1,0.44775
298,1083,49,-1,-1,0.44775
298,1084,49,-1,-1,0.44775
301,1093,52,-1,-1,0.018
301,1094,52,-1,-1,0.018
301,1095,52,-1,-1,0.018
301,1096,52,-1,-1,0.018
302,1097,53,-1,-1,0.0432
302,1098,53,-1,-1,0.0432
302,1099,53,-1,-1,0.0432
302,1100,53,-1,-1,0.0432
303,1101,54,-1,-1,0.0198
303,1102,54,-1,-1,0.0198
303,1103,54,-1,-1,0.0198
303,1104,54,-1,-1,0.0198
304,1105,55,-1,-1,0.162
304,1106,55,-1,-1,0.162
304,1107,55,-1,-1,0.162
304,1108,55,-1,-1,0.162
312,1137,62,-1,-1,0.09
312,1138,62,-1,-1,0.09
312,1139,62,-1,-1,0.09
312,1140,62,-1,-1,0.09
314,1145,64,-1,-1,0.01575
314,1146,64,-1,-1,0.01575
314,1147,64,-1,-1,0.01575
314,1148,64,-1,-1,0.01575
316,1153,66,-1,-1,0.0135
316,1154,66,-1,-1,0.0135
316,1155,66,-1,-1,0.0135
316,1156,66,-1,-1,0.0135
317,1157,67,-1,-1,0.0135
317,1158,67,-1,-1,0.0135
317,1159,67,-1,-1,0.0135
317,1160,67,-1,-1,0.0135
318,1161,68,-1,-1,0.027
318,1162,68,-1,-1,0.027
318,1163,68,-1,-1,0.027
318,1164,68,-1,-1,0.027
319,1165,69,-1,-1,0.027
319,1166,69,-1,-1,0.027
319,1167,69,-1,-1,0.027
319,1168,69,-1,-1,0.027
290,1049,41,-1,-1,337.5
290,1050,41,-1,-1,337.5
290,1051,41,-1,-1,337.5
290,1052,41,-1,-1,337.5
291,1053,42,-1,-1,0.5175
291,1054,42,-1,-1,0.5175
291,1055,42,-1,-1,0.5175
291,1056,42,-1,-1,0.5175
297,1077,48,-1,-1,0.432
297,1078,48,-1,-1,0.432
297,1079,48,-1,-1,0.432
297,1080,48,-1,-1,0.432
305,1109,56,-1,-1,0.2835
305,1110,56,-1,-1,0.2835
