QtBids,QBid,forT
227293,757334,89
227293,757335,90
227293,757336,91
227293,757337,92
227294,757338,89
227294,757339,90
227294,757340,91
227294,757341,92
227295,757342,89
227295,757343,90
227295,757344,91
227295,757345,92
227296,757346,89
227296,757347,90
227296,757348,91
227296,757349,92
227301,757365,89
227301,757366,90
227301,757367,91
227301,757368,92
227302,757369,89
227302,757370,90
227302,757371,91
227302,757372,92
227303,757373,89
227303,757374,90
227303,757375,91
227303,757376,92
227304,757377,89
227304,757378,90
227304,757379,91
227304,757380,92
227305,757381,89
227305,757382,90
227305,757383,91
227306,757384,89
227306,757385,90
227306,757386,91
227306,757387,92
227307,757388,89
227307,757389,90
227309,757391,89
227309,757392,90
227310,757393,89
227310,757394,90
227310,757395,91
227310,757396,92
227311,757397,89
227311,757398,90
227311,757399,91
227313,757401,89
227313,757402,90
227313,757403,91
227313,757404,92
227314,757405,89
227314,757406,90
227314,757407,91
227314,757408,92
227315,757409,89
227315,757410,90
227315,757411,91
227316,757412,89
227316,757413,90
227316,757414,91
227316,757415,92
227317,757416,89
227317,757417,90
227317,757418,91
227318,757419,89
227318,757420,90
227318,757421,91
227318,757422,92
227319,757423,89
227319,757424,90
227321,757426,89
227321,757427,90
227321,757428,91
227321,757429,92
227322,757430,89
227322,757431,90
227323,757432,89
227323,757433,90
227323,757434,91
227323,757435,92
227324,757436,89
227324,757437,90
227324,757438,91
227325,757439,89
227325,757440,90
227325,757441,91
227325,757442,92
227326,757443,89
227326,757444,90
227326,757445,91
227327,757446,89
227327,757447,90
227328,757448,89
227328,757449,90
227328,757450,91
227328,757451,92
227329,757452,89
227329,757453,90
227329,757454,91
227329,757455,92
227330,757456,89
227330,757457,90
227330,757458,91
227331,757459,89
227331,757460,90
227331,757461,91
227331,757462,92
227332,757463,89
227332,757464,90
227332,757465,91
227332,757466,92
227333,757467,89
227333,757468,90
227333,757469,91
227335,757471,89
227335,757472,90
227336,757473,89
227336,757474,90
227336,757475,91
227336,757476,92
227337,757477,89
227337,757478,90
227337,757479,91
227337,757480,92
227338,757481,89
227338,757482,90
227338,757483,91
227338,757484,92
227339,757485,89
227339,757486,90
227339,757487,91
227339,757488,92
227340,757489,89
227340,757490,90
227340,757491,91
227340,757492,92
227341,757493,89
227341,757494,90
227342,757495,89
227342,757496,90
227342,757497,91
227344,757499,89
227344,757500,90
227344,757501,91
227344,757502,92
227345,757503,89
227345,757504,90
227345,757505,91
227346,757506,89
227346,757507,90
227346,757508,91
227346,757509,92
227347,757510,89
227347,757511,90
227348,757512,89
227348,757513,90
227348,757514,91
227348,757515,92
227349,757516,89
227349,757517,90
227349,757518,91
227349,757519,92
227350,757520,89
227350,757521,90
227350,757522,91
227350,757523,92
227351,757524,89
227351,757525,90
227352,757526,89
227352,757527,90
227352,757528,91
227352,757529,92
227353,757530,89
227353,757531,90
227353,757532,91
227353,757533,92
227355,757535,89
227355,757536,90
227355,757537,91
227356,757538,89
227356,757539,90
227357,757540,89
227357,757541,90
227358,757542,89
227358,757543,90
227358,757544,91
227358,757545,92
227359,757546,89
227359,757547,90
227359,757548,91
227361,757550,89
227361,757551,90
227362,757552,89
227362,757553,90
227362,757554,91
227362,757555,92
227363,757556,89
227363,757557,90
227363,757558,91
227365,757560,89
227365,757561,90
227365,757562,91
227365,757563,92
227366,757564,89
227366,757565,90
227366,757566,91
227366,757567,92
227367,757568,89
227367,757569,90
227367,757570,91
227369,757572,89
227369,757573,90
227369,757574,91
227369,757575,92
227370,757576,89
227370,757577,90
227370,757578,91
227370,757579,92
227372,757581,89
227372,757582,90
227372,757583,91
227373,757584,89
227373,757585,90
227373,757586,91
227373,757587,92
227374,757588,89
227374,757589,90
227374,757590,91
227375,757591,89
227375,757592,90
227375,757593,91
227375,757594,92
227376,757595,89
227376,757596,90
227376,757597,91
227376,757598,92
227377,757599,89
227377,757600,90
227377,757601,91
227378,757602,89
227378,757603,90
227378,757604,91
227378,757605,92
227380,757607,89
227380,757608,90
227380,757609,91
227380,757610,92
227381,757611,89
227381,757612,90
227381,757613,91
227382,757614,89
227382,757615,90
227383,757616,89
227383,757617,90
227383,757618,91
227383,757619,92
227384,757620,89
227384,757621,90
227384,757622,91
227385,757623,89
227385,757624,90
227385,757625,91
227385,757626,92
227387,757628,89
227387,757629,90
227387,757630,91
227387,757631,92
227388,757632,89
227388,757633,90
227388,757634,91
227388,757635,92
227389,757636,89
227389,757637,90
227389,757638,91
227390,757639,89
227390,757640,90
227391,757641,89
227391,757642,90
227391,757643,91
227391,757644,92
227393,757646,89
227393,757647,90
227393,757648,91
227394,757649,89
227394,757650,90
227394,757651,91
227394,757652,92
227395,757653,89
227395,757654,90
227395,757655,91
227395,757656,92
227397,757658,89
227397,757659,90
227398,757660,89
