Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,status
21920000,225793,752580,837023,89,0,-36,-0.020944,-36,1,1,1
21920000,225794,752581,837024,89,0,36,0.023624667,36,1,1,1
21920000,225795,752582,837025,89,0,-36,-0.01304819,-36,1,1,1
21920000,225796,752583,837026,89,0,36,0.028069987,36,1,1,1
21920000,225797,752584,837027,89,0,-36,-0.01378487,-36,1,1,1
21920000,225798,752585,837028,89,0,-36,-0.01675471,-36,1,1,1
21920000,225799,752586,837029,89,0,36,0.014723695,36,1,1,1
21950093,225800,752587,837030,89,0,-36,-0.021572933,-36,1,1,1
21950093,225801,752588,837031,89,0,36,0.025108667,36,1,1,1
21950093,225802,752589,837032,89,0,-36,-0.01408492,-36,1,1,1
21950093,225803,752590,837033,89,0,36,0.028544653,36,1,1,1
21950093,225804,752591,837034,89,0,-36,-0.013863577,-36,1,1,1
21950093,225805,752592,837035,89,0,36,0.010756747,36,1,1,1
21950093,225806,752593,837036,89,0,-36,-0.019739613,-36,1,1,1
21950093,225807,752594,837037,89,0,36,0.015786779,36,1,1,1
22100021,225808,752595,837038,89,0,36,0.0182752,36,1,1,1
22100021,225809,752596,837039,89,0,36,0.014173231,36,1,1,1
22160027,225810,752597,837040,89,0,-36,-0.018725867,-36,1,1,1
22160027,225811,752598,837041,89,0,36,0.025442267,36,1,1,1
22160027,225812,752599,837042,89,0,-36,-0.015763028,-36,1,1,1
22160027,225813,752600,837043,89,0,36,0.028544653,36,1,1,1
22160027,225814,752601,837044,89,0,-36,-0.013230702,-36,1,1,1
22160027,225815,752602,837045,89,0,36,0.010611137,36,1,1,1
22160027,225816,752603,837046,89,0,-36,-0.018917308,-36,1,1,1
22160027,225817,752604,837047,89,0,36,0.014774835,36,1,1,1
22220033,225818,752605,837048,89,0,-36,-0.015017467,-36,1,1,1
22220033,225819,752606,837049,89,0,36,0.019540667,36,1,1,1
22220033,225820,752607,837050,89,0,-36,-0.010210019,-36,1,1,1
22220033,225821,752608,837051,89,0,36,0.024586793,36,1,1,1
22220033,225822,752609,837052,89,0,-36,-0.010430163,-36,1,1,1
22220033,225823,752610,837053,89,0,-36,-0.010889501,-36,1,1,1
22310086,225824,752611,837054,89,0,-36,-0.0204968,-36,1,1,1
22310086,225825,752612,837055,89,0,36,0.022169867,36,1,1,1
22310086,225826,752613,837056,89,0,-36,-0.013043415,-36,1,1,1
22310086,225827,752614,837057,89,0,36,0.027995523,36,1,1,1
22310086,225828,752615,837058,89,0,-36,-0.013786453,-36,1,1,1
22310086,225829,752616,837059,89,0,-36,-0.016761738,-36,1,1,1
22310086,225830,752617,837060,89,0,36,0.013446539,36,1,1,1
22520021,225831,752618,837061,89,0,-36,-0.011236933,-36,1,1,1
22520021,225832,752619,837062,89,0,36,0.021197867,36,1,1,1
22520021,225833,752620,837063,89,0,36,0.025376298,36,1,1,1
22520021,225834,752621,837064,89,0,-36,-0.014504959,-36,1,1,1
22630042,225835,752622,837065,89,0,-36,-0.0136728,-36,1,1,1
22630042,225836,752623,837066,89,0,36,0.019644133,36,1,1,1
22630042,225837,752624,837067,89,0,36,0.026144419,36,1,1,1
22630042,225838,752625,837068,89,0,-36,-0.015331931,-36,1,1,1
22640020,225839,752626,837069,89,0,-36,-0.0171364,-36,1,1,1
22640020,225840,752627,837070,89,0,36,0.0226296,36,1,1,1
22640020,225841,752628,837071,89,0,36,0.027356514,36,1,1,1
22640020,225842,752629,837072,89,0,-36,-0.016454891,-36,1,1,1
22650042,225843,752630,837073,89,0,-36,-0.012509733,-36,1,1,1
22650042,225844,752631,837074,89,0,36,0.022388,36,1,1,1
22650042,225845,752632,837075,89,0,-36,-0.010845009,-36,1,1,1
