ID,Vsqmin,Vsqmax,Root,G,B,Qmin,Qmax
21950000,0.81,1.21,0,0,0,0,0
21950001,0.81,1.21,0,0,0,0,0
21950002,0.81,1.21,0,0,0,0,0
21950003,0.81,1.21,0,0,0,0,0
21950004,0.81,1.21,0,0,0,0,0
21950005,0.81,1.21,0,0,0,0,0
21950006,0.81,1.21,0,0,0,0,0
21950007,0.81,1.21,0,0,0,0,0
21950008,0.81,1.21,0,0,0,0,0
21950009,0.81,1.21,0,0,0,0,0
21950010,0.81,1.21,0,0,0,0,0
21950011,0.81,1.21,0,0,0,0,0
21950012,0.81,1.21,0,0,0,0,0
21950013,0.81,1.21,0,0,0,0,0
21950014,0.81,1.21,0,0,0,0,0
21950015,0.81,1.21,0,0,0,0,0
21950016,0.81,1.21,0,0,0,0,0
21950017,0.81,1.21,0,0,0,0,0
21950018,0.81,1.21,0,0,0,0,0
21950019,0.81,1.21,0,0,0,0,0
21950020,0.81,1.21,0,0,0,0,0
21950021,0.81,1.21,0,0,0,0,0
21950022,0.81,1.21,0,0,0,0,0
21950023,0.81,1.21,0,0,0,0,0
21950024,0.81,1.21,0,0,0,0,0
21950025,0.81,1.21,0,0,0,0,0
21950026,0.81,1.21,0,0,0,0,0
21950027,0.81,1.21,0,0,0,0,0
21950028,0.81,1.21,0,0,0,0,0
21950029,0.81,1.21,0,0,0,0,0
21950030,0.81,1.21,0,0,0,0,0
21950031,0.81,1.21,0,0,0,0,0
21950032,0.81,1.21,0,0,0,0,0
21950033,0.81,1.21,0,0,0,0,0
21950034,0.81,1.21,0,0,0,0,0
21950035,0.81,1.21,0,0,0,0,0
21950036,0.81,1.21,0,0,0,0,0
21950037,0.81,1.21,0,0,0,0,0
21950038,0.81,1.21,0,0,0,0,0
21950039,0.81,1.21,0,0,0,0,0
21950040,0.81,1.21,0,0,0,0,0
21950041,0.81,1.21,0,0,0,0,0
21950042,0.81,1.21,0,0,0,0,0
21950043,0.81,1.21,0,0,0,0,0
21950044,0.81,1.21,0,0,0,0,0
21950045,0.81,1.21,0,0,0,0,0
21950046,0.81,1.21,0,0,0,0,0
21950047,0.81,1.21,0,0,0,0,0
21950048,0.81,1.21,0,0,0,0,0
21950049,0.81,1.21,0,0,0,0,0
21950050,0.81,1.21,0,0,0,0,0
21950051,0.81,1.21,0,0,0,0,0
