ID,NodeFrom,NodeTo,R,G,X,B,Pmin,Pmax,Qmin,Qmax,S,Charge,Tap,Shift
203,1050,1333,0,0,0,0,0,0,0,0,896.4,0,1,0
205,1330,1265,0.000021,0,0.00014,20.347553,0,0,0,0,134.3925,0,1,0
206,1252,1312,0.000006,0,0.000038,5.626154,0,0,0,0,100.8,0,1,0
207,1281,1334,0.000046,0,0.000317,3.724697,0,0,0,0,114.345,0,1,0
208,1195,1334,0.000022,0,0.000125,8.919536,0,0,0,0,111.375,0,1,0
209,1335,1284,0.000024,0,0.00015,23.349649,0,0,0,0,134.3925,0,1,0
210,1268,1302,0.000025,0,0.000157,24.461537,0,0,0,0,122.958,0,1,0
211,1330,1266,0.000019,0,0.000164,33.142822,0,0,0,0,168.399,0,1,0
212,1293,1288,0.000004,0,0.000032,6.456221,0,0,0,0,168.399,0,1,0
213,1288,1231,0.000009,0,0.000078,15.643411,0,0,0,0,168.399,0,1,0
214,1284,1222,0.000045,0,0.000285,44.475524,0,0,0,0,92.07,0,1,0
215,1335,1336,0.000019,0,0.000117,18.735325,0,0,0,0,134.3925,0,1,0
216,1264,1336,0.000026,0,0.000162,25.462248,0,0,0,0,134.3925,0,1,0
217,1337,1250,0.000023,0,0.00019,0.633007,0,0,0,0,204.93,0,1,0
218,1293,1337,0.000005,0,0.000046,9.27999,0,0,0,0,168.399,0,1,0
219,1202,1333,0.000004,0,0.000054,9.373232,0,0,0,0,993.6,0,1,0
220,1202,1333,0.000004,0,0.000054,9.373232,0,0,0,0,993.6,0,1,0
221,1235,1312,0.000004,0,0.000039,2.549099,0,0,0,0,154.44,0,1,0
222,1285,1291,0.00005,0,0.000435,25.705149,0,0,0,0,137.3625,0,1,0
223,1035,1236,0,0,0.000002,0,0,0,0,0,294.3,0,1,0
224,1036,1236,0,0,0,0,0,0,0,0,294.3,0,1,0
225,1037,1241,0,0,0,0,0,0,0,0,380.7,0,1,0
226,1040,1253,0,0,0,0,0,0,0,0,465.3,0,1,0
227,1039,1253,0,0,0,0,0,0,0,0,465.3,0,1,0
228,1038,1241,0,0,0,0,0,0,0,0,380.7,0,1,0
229,1027,1202,0,0,0.000002,0.31048,0,0,0,0,1239.3,0,1,0
230,1223,1030,0.000003,0,0.000037,6.08,0,0,0,0,941.4,0,1,0
231,1223,1031,0.000003,0,0.000037,6.08,0,0,0,0,941.4,0,1,0
232,1223,1022,0.000003,0,0.000037,6.08,0,0,0,0,1449,0,1,0
