ID,QtBid
27414,225793
27414,225794
27414,225795
27414,225796
27414,225797
27414,225798
27414,225799
27415,225800
27415,225801
27415,225802
27415,225803
27415,225804
27415,225805
27415,225806
27415,225807
27416,225808
27416,225809
27417,225810
27417,225811
27417,225812
27417,225813
27417,225814
27417,225815
27417,225816
27417,225817
27418,225818
27418,225819
27418,225820
27418,225821
27418,225822
27418,225823
27419,225824
27419,225825
27419,225826
27419,225827
27419,225828
27419,225829
27419,225830
27420,225831
27420,225832
27420,225833
27420,225834
27421,225835
27421,225836
27421,225837
27421,225838
27422,225839
27422,225840
27422,225841
27422,225842
27423,225843
27423,225844
27423,225845
27423,225846
27423,225847
27424,225848
27424,225849
27424,225850
27424,225851
27424,225852
27424,225853
27424,225854
27425,225855
27425,225856
27425,225857
27425,225858
27425,225859
27425,225860
27425,225861
27425,225862
27426,225863
27426,225864
27426,225865
27426,225866
27427,225867
27427,225868
27427,225869
27427,225870
27427,225871
27428,225872
27428,225873
27428,225874
27428,225875
27428,225876
27429,225877
27429,225878
27429,225879
27429,225880
27429,225881
27429,225882
27430,225883
27430,225884
27430,225885
27430,225886
27431,225887
27431,225888
27431,225889
27431,225890
27431,225891
27432,225892
27432,225893
27432,225894
27432,225895
27432,225896
27432,225897
27433,225898
27433,225899
27433,225900
27433,225901
27433,225902
27433,225903
27433,225904
27433,225905
27434,225906
27434,225907
27434,225908
27434,225909
27434,225910
27434,225911
27434,225912
27435,225913
27435,225914
27435,225915
27435,225916
27435,225917
27435,225918
27435,225919
27435,225920
27436,225921
27436,225922
27436,225923
27436,225924
27436,225925
27436,225926
27436,225927
27437,225928
27437,225929
27437,225930
27437,225931
27437,225932
27437,225933
27437,225934
27438,225935
27438,225936
27438,225937
27438,225938
27438,225939
27438,225940
27439,225941
27439,225942
27439,225943
27439,225944
27439,225945
27439,225946
27440,225947
27440,225948
27440,225949
27440,225950
27440,225951
27440,225952
27440,225953
27440,225954
27441,225955
27441,225956
27441,225957
27441,225958
27442,225959
27442,225960
27442,225961
27442,225962
27442,225963
27442,225964
27442,225965
27443,225966
27443,225967
27443,225968
27443,225969
27443,225970
27443,225971
27443,225972
27443,225973
27444,225974
27444,225975
27444,225976
27444,225977
27444,225978
27444,225979
27444,225980
27445,225981
27445,225982
27445,225983
27445,225984
27445,225985
27445,225986
27445,225987
27445,225988
27446,225989
27446,225990
27446,225991
27446,225992
27446,225993
27446,225994
27446,225995
27447,225996
27447,225997
27447,225998
27447,225999
27447,226000
27447,226001
27447,226002
27447,226003
27448,226004
27448,226005
27448,226006
27448,226007
27448,226008
27448,226009
27448,226010
27448,226011
27449,226012
27449,226013
27449,226014
27449,226015
27449,226016
27449,226017
27449,226018
27450,226019
27450,226020
27450,226021
27450,226022
27451,226023
27451,226024
27451,226025
27451,226026
27451,226027
27451,226028
27451,226029
27452,226030
27452,226031
27452,226032
27452,226033
27452,226034
27452,226035
27452,226036
27453,226037
27453,226038
27453,226039
27454,226041
27454,226042
27454,226043
27454,226044
27454,226045
27454,226046
27454,226047
27454,226048
27455,226049
27455,226050
27455,226051
27455,226052
27455,226053
27455,226054
27455,226055
27456,226056
27456,226057
27456,226058
27456,226059
27456,226060
27457,226061
27457,226062
27457,226063
27457,226064
27457,226065
27457,226066
27458,226067
27458,226068
27458,226069
27458,226070
27458,226071
27458,226072
27458,226073
27459,226074
27459,226075
27459,226076
27459,226077
27459,226078
27459,226079
27459,226080
27459,226081
27460,226082
27460,226083
27460,226084
27460,226085
27460,226086
27460,226087
27460,226088
27460,226089
27461,226090
27461,226091
27461,226092
27461,226093
27461,226094
27461,226095
27461,226096
27461,226097
27462,226098
27462,226099
27462,226100
27462,226101
27463,226102
27463,226103
27463,226104
27463,226105
27463,226106
27463,226107
27463,226108
27463,226109
27464,226110
27464,226111
27464,226112
27464,226113
27464,226114
27464,226115
27464,226116
27464,226117
27465,226118
27465,226119
27465,226120
27466,226121
27466,226122
27466,226123
27466,226124
27466,226125
27466,226126
27466,226127
27467,226128
27467,226129
27467,226130
27467,226131
27468,226132
27468,226133
27468,226134
27468,226135
27468,226136
27468,226137
27468,226138
27468,226139
27469,226140
27469,226141
27469,226142
27469,226143
27469,226144
27469,226145
27469,226146
27469,226147
27470,226148
27470,226149
27470,226150
27470,226151
27470,226152
27470,226153
27471,226154
27471,226155
27471,226156
27471,226157
27471,226158
27471,226159
27471,226160
27472,226161
27472,226162
27472,226163
27472,226164
27472,226165
27472,226166
27472,226167
27473,226168
27473,226169
27473,226170
27473,226171
27473,226172
27473,226173
27473,226174
27474,226175
27474,226176
27474,226177
27474,226178
27475,226179
27475,226180
27475,226181
27475,226182
27475,226183
27475,226184
27475,226185
27475,226186
27476,226187
27476,226188
27476,226189
27476,226190
27477,226191
27477,226192
27477,226193
27477,226194
27477,226195
27477,226196
27477,226197
27477,226198
27478,226199
27478,226200
27478,226201
27478,226202
27478,226203
27479,226204
27479,226205
27479,226206
27479,226207
27480,227293
27480,227294
27480,227295
27480,227296
27481,227297
27481,227298
27481,227299
27481,227300
27482,227301
27482,227302
27482,227303
27482,227304
27483,227305
27483,227306
27483,227307
27483,227308
27484,227309
27484,227310
27484,227311
27484,227312
27485,227313
27485,227314
27485,227315
27485,227316
27486,227317
27486,227318
27486,227319
27486,227320
27487,227321
27487,227322
27487,227323
27487,227324
27488,227325
27488,227326
27488,227327
27488,227328
27489,227329
27489,227330
27489,227331
27489,227332
27490,227333
27490,227334
27490,227335
27490,227336
27490,227337
27490,227338
27490,227339
27490,227340
27491,227341
27491,227342
27491,227343
27491,227344
27492,227345
27492,227346
27492,227347
27492,227348
27493,227349
27493,227350
27493,227351
27493,227352
27494,227353
27494,227354
27494,227355
27494,227356
27495,227357
27495,227358
27495,227359
27495,227360
27496,227361
27496,227362
27496,227363
27496,227364
27497,227365
27497,227366
27497,227367
27497,227368
27498,227369
27498,227370
27498,227371
27498,227372
27499,227373
27499,227374
27499,227375
27499,227376
27500,227377
27500,227378
27500,227379
27500,227380
27501,227381
27501,227382
27501,227383
27501,227384
27501,227385
27501,227386
27501,227387
27501,227388
27502,227389
27502,227390
27502,227391
27502,227392
27503,227393
27503,227394
27503,227395
27503,227396
27503,227397
27503,227398
27503,227399
27503,227400
27504,227401
27504,227402
27504,227403
27504,227404
27505,227405
27505,227406
27505,227407
27505,227408
27506,227409
27506,227410
27506,227411
27506,227412
27507,227413
27507,227414
27507,227415
27507,227416
27508,227417
27508,227418
27508,227419
27508,227420
27509,227421
27509,227422
27509,227423
27509,227424
27510,227425
27510,227426
27510,227427
27510,227428
27511,227429
27511,227430
27511,227431
27511,227432
27512,227433
27512,227434
27512,227435
27512,227436
27513,227437
27513,227438
27513,227439
27513,227440
27514,227441
27514,227442
27514,227443
27514,227444
27515,227445
27515,227446
27515,227447
27515,227448
27516,227449
27516,227450
27516,227451
27516,227452
27517,227453
27517,227454
27517,227455
27517,227456
27517,227457
27517,227458
27517,227459
27517,227460
27518,227461
27518,227462
27518,227463
27518,227464
27519,227465
27519,227466
27519,227467
27519,227468
27520,227469
27520,227470
27520,227471
27520,227472
27521,227473
27521,227474
27521,227475
27521,227476
27522,227477
27522,227478
27522,227479
27522,227480
27523,227481
27523,227482
27523,227483
27523,227484
27524,227485
27524,227486
27524,227487
27524,227488
27525,227489
27525,227490
27525,227491
27525,227492
27526,227493
27526,227494
27526,227495
27526,227496
27527,227497
27527,227498
27527,227499
27527,227500
27528,227501
27528,227502
27528,227503
27528,227504
27529,227505
27529,227506
27529,227507
27529,227508
27530,227509
27530,227510
27530,227511
27530,227512
27531,227513
27531,227514
27531,227515
27531,227516
27531,227517
27531,227518
27531,227519
27531,227520
27532,227521
27532,227522
27532,227523
27532,227524
27533,227525
27533,227526
27533,227527
27533,227528
27534,227529
27534,227530
27534,227531
27534,227532
27534,227533
27534,227534
27534,227535
27534,227536
27535,227537
27535,227538
27535,227539
27535,227540
27536,227541
27536,227542
27536,227543
27536,227544
27537,227545
27537,227546
27537,227547
27537,227548
27538,227549
27538,227550
27538,227551
27538,227552
27539,227553
27539,227554
27539,227555
27539,227556
27540,227557
27540,227558
27540,227559
27540,227560
27541,227561
27541,227562
27541,227563
27541,227564
27542,227565
27542,227566
27542,227567
27542,227568
27543,227569
27543,227570
27543,227571
27543,227572
27544,227573
27544,227574
27544,227575
27544,227576
27545,227577
27545,227578
27545,227579
27545,227580
27546,227581
27546,227582
27546,227583
27546,227584
27547,227585
27547,227586
27547,227587
27547,227588
27548,227589
27548,227590
27548,227591
27548,227592
27549,227593
27549,227594
27549,227595
27549,227596
27550,227597
27550,227598
27550,227599
27550,227600
27551,227601
27551,227602
27551,227603
27551,227604
27551,227605
27551,227606
27551,227607
27551,227608
27552,227609
27552,227610
27552,227611
27552,227612
27553,227613
27553,227614
27553,227615
27553,227616
27553,227617
27553,227618
27553,227619
27553,227620
27554,227621
27554,227622
27554,227623
27554,227624
27555,227625
27555,227626
27555,227627
27555,227628
27556,227629
27556,227630
27556,227631
27556,227632
27557,227633
27557,227634
27557,227635
27557,227636
27558,227637
27558,227638
27558,227639
27558,227640
27559,227641
27559,227642
27559,227643
27559,227644
27560,227645
27560,227646
27560,227647
27560,227648
27561,227649
27561,227650
27561,227651
27561,227652
27562,227653
27562,227654
27562,227655
27562,227656
27563,227657
27563,227658
27563,227659
27563,227660
27564,227661
27564,227662
27564,227663
27564,227664
27565,227665
27565,227666
27565,227667
27565,227668
27566,227669
27566,227670
27566,227671
27566,227672
27567,227673
27567,227674
27567,227675
27567,227676
27567,227677
27567,227678
27567,227679
27567,227680
27568,227681
27568,227682
27568,227683
27568,227684
27569,227685
27569,227686
27569,227687
27569,227688
27570,227689
27570,227690
27570,227691
27570,227692
27570,227693
27570,227694
27570,227695
27570,227696
27571,227697
27571,227698
27571,227699
27571,227700
27572,227701
27572,227702
27572,227703
27572,227704
27573,227705
27573,227706
27573,227707
27573,227708
27574,227709
27574,227710
27574,227711
27574,227712
27574,227713
27574,227714
27574,227715
27574,227716
27575,227717
27575,227718
27575,227719
27575,227720
27575,227721
27575,227722
27575,227723
27575,227724
27576,227725
27576,227726
27576,227727
27576,227728
27577,227729
27577,227730
27577,227731
27577,227732
27578,227733
27578,227734
27578,227735
27578,227736
27579,227737
27579,227738
27579,227739
27579,227740
27579,227741
27579,227742
27579,227743
27579,227744
27580,227745
27580,227746
27580,227747
27580,227748
27581,227749
27581,227750
27581,227751
27581,227752
27582,227753
27582,227754
27582,227755
27582,227756
27583,227757
27583,227758
27583,227759
27583,227760
27584,227761
27584,227762
27584,227763
27584,227764
27585,227765
27585,227766
27585,227767
27585,227768
27586,227769
27586,227770
27586,227771
27586,227772
27587,227773
27587,227774
27587,227775
27587,227776
27588,227777
27588,227778
27588,227779
27588,227780
27589,227781
27589,227782
27589,227783
27589,227784
27590,227785
27590,227786
27590,227787
27590,227788
27591,227789
27591,227790
27591,227791
27591,227792
27592,227793
27592,227794
27592,227795
27592,227796
27593,227797
27593,227798
27593,227799
27593,227800
27594,227801
27594,227802
27594,227803
27594,227804
27595,227805
27595,227806
27595,227807
27595,227808
27596,227809
27596,227810
27596,227811
27596,227812
27597,227813
27597,227814
27597,227815
27597,227816
27598,227817
27598,227818
27598,227819
27598,227820
27599,227821
27599,227822
27599,227823
27599,227824
27600,227825
27600,227826
27600,227827
27600,227828
27601,227829
27601,227830
27601,227831
27601,227832
27602,227833
27602,227834
27602,227835
27602,227836
27603,227837
27603,227838
27603,227839
27603,227840
27604,227841
27604,227842
27604,227843
27604,227844
27605,227845
27605,227846
27605,227847
27605,227848
27606,227849
27606,227850
27606,227851
27606,227852
27607,227853
27607,227854
27607,227855
27607,227856
27608,227857
27608,227858
27608,227859
27608,227860
27609,227861
27609,227862
27609,227863
27609,227864
27610,227865
27610,227866
27610,227867
27610,227868
27611,227869
27611,227870
27611,227871
27611,227872
27612,227873
27612,227874
27612,227875
27612,227876
27613,227877
27613,227878
27613,227879
27613,227880
27614,227881
27614,227882
27614,227883
27614,227884
27615,227885
27615,227886
27615,227887
27615,227888
27616,227889
27616,227890
27616,227891
27616,227892
27617,227893
27617,227894
27617,227895
27617,227896
27618,227897
27618,227898
27618,227899
27618,227900
27619,227901
27619,227902
27619,227903
27619,227904
27620,227905
27620,227906
27620,227907
27620,227908
27621,227909
27621,227910
27621,227911
27621,227912
27622,227913
27622,227914
27622,227915
27622,227916
27623,227917
27623,227918
27623,227919
27623,227920
27624,227921
27624,227922
27624,227923
27624,227924
27625,227925
27625,227926
27625,227927
27625,227928
27626,227929
27626,227930
27626,227931
27626,227932
27627,227933
27627,227934
27627,227935
27627,227936
27628,227937
27628,227938
27628,227939
27628,227940
27629,227941
27629,227942
27629,227943
27629,227944
27630,227945
27630,227946
27630,227947
27630,227948
27631,227949
27631,227950
27631,227951
27631,227952
27632,227953
27632,227954
27632,227955
27632,227956
27633,227957
27633,227958
27633,227959
27633,227960
27634,227961
27634,227962
27634,227963
27634,227964
27635,227965
27635,227966
27635,227967
27635,227968
27636,227969
27636,227970
27636,227971
27636,227972
27637,227973
27637,227974
27637,227975
27637,227976
27638,227977
27638,227978
27638,227979
27638,227980
27638,227981
27638,227982
27638,227983
27638,227984
27639,227985
27639,227986
27639,227987
27639,227988
27639,227989
27639,227990
27639,227991
27639,227992
27640,227993
27640,227994
27640,227995
27640,227996
27640,227997
27640,227998
27640,227999
27640,228000
27641,228001
27641,228002
27641,228003
27641,228004
27641,228005
27641,228006
27641,228007
27641,228008
27642,228009
27642,228010
27642,228011
27642,228012
27642,228013
27642,228014
27642,228015
27642,228016
27643,228017
27643,228018
27643,228019
27643,228020
27643,228021
27643,228022
27643,228023
27643,228024
27644,228025
27644,228026
27644,228027
27644,228028
27644,228029
27644,228030
27644,228031
27644,228032
27645,228033
27645,228034
27645,228035
27645,228036
27645,228037
27645,228038
27645,228039
27645,228040
27646,228041
27646,228042
27646,228043
27646,228044
27647,228045
27647,228046
27647,228047
27647,228048
27648,228049
27648,228050
27648,228051
27648,228052
27649,228053
27649,228054
27649,228055
27649,228056
27650,228057
27650,228058
27650,228059
27650,228060
27651,228061
27651,228062
27651,228063
27651,228064
27652,228065
27652,228066
27652,228067
27652,228068
27653,228069
27653,228070
27653,228071
27653,228072
27654,228073
27654,228074
27654,228075
27654,228076
27655,228077
27655,228078
27655,228079
27655,228080
27656,228081
27656,228082
27656,228083
27656,228084
