Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,AlphaOmegaSet,NoNewAct,Xlb_orig,Price_orig
195,1,1,1,2,0,18.39928298,-0.00444843,18.39928298,1,1,0,0,1,18.39928298
195,2,2,2,2,0,20.06588551,-0.004920584,20.06588551,1,1,0,0,1,20.06588551
195,3,3,3,2,0,28.06213601,-0.005350186,28.06213601,1,1,0,0,1,28.06213601
342,4,4,4,2,0,22.87637224,-0.003970584,22.87637224,1,1,0,0,1,22.87637224
342,5,5,5,2,0,24.31745809,-0.003460584,24.31745809,1,1,0,0,1,24.31745809
342,6,6,6,2,0,25.01791281,-0.003992584,25.01791281,1,1,0,0,1,25.01791281
342,7,7,7,2,0,27.73061009,-0.003460584,27.73061009,1,1,0,0,1,27.73061009
342,8,8,8,2,0,28.08532696,-0.003996186,28.08532696,1,1,0,0,1,28.08532696
342,9,9,9,2,0,28.72121344,-0.00323443,28.72121344,1,1,0,0,1,28.72121344
1468,10,10,10,2,0,22.28426843,-0.00432243,22.28426843,1,1,0,0,1,22.28426843
1468,11,11,11,2,0,17.57980132,-0.004832,17.57980132,1,1,0,0,1,17.57980132
1468,12,12,12,2,0,20.91625844,-0.004866186,20.91625844,1,1,0,0,1,20.91625844
1490,13,13,13,2,0,22.87637224,-0.003970584,22.87637224,1,1,0,0,1,22.87637224
1490,14,14,14,2,0,23.19963857,-0.003922186,23.19963857,1,1,0,0,1,23.19963857
1490,15,15,15,2,0,25.01791281,-0.003992584,25.01791281,1,1,0,0,1,25.01791281
1490,16,16,16,2,0,25.49731282,-0.003680584,25.49731282,1,1,0,0,1,25.49731282
1490,17,17,17,2,0,21.93370515,-0.004180186,21.93370515,1,1,0,0,1,21.93370515
1490,18,18,18,2,0,27.32482331,-0.00339443,27.32482331,1,1,0,0,1,27.32482331
1517,19,19,19,2,0,18.45839552,-0.004288,18.45839552,1,1,0,0,1,18.45839552
1517,20,20,20,2,0,22.50616438,-0.004672,22.50616438,1,1,0,0,1,22.50616438
1517,21,21,21,2,0,22.23029801,-0.004832,22.23029801,1,1,0,0,1,22.23029801
1522,22,22,22,2,0,23.23469357,-0.00448286,23.23469357,1,1,0,0,1,23.23469357
1522,23,23,23,2,0,26.18504378,-0.004989444,26.18504378,1,1,0,0,1,26.18504378
1522,24,24,24,2,0,26.78925707,-0.005474558,26.78925707,1,1,0,0,1,26.78925707
1537,25,25,25,2,0,25.66559226,-0.00416243,25.66559226,1,1,0,0,1,25.66559226
1537,26,26,26,2,0,27.68521701,-0.004410584,27.68521701,1,1,0,0,1,27.68521701
1537,27,27,27,2,0,29.27091138,-0.004414186,29.27091138,1,1,0,0,1,29.27091138
1568,28,28,28,2,0,19.86472493,-0.00448286,19.86472493,1,1,0,0,1,19.86472493
1568,29,29,29,2,0,22.74698681,-0.004979168,22.74698681,1,1,0,0,1,22.74698681
1568,30,30,30,2,0,27.97045259,-0.005412372,27.97045259,1,1,0,0,1,27.97045259
1569,31,31,31,2,0,18.51797047,-0.00435686,18.51797047,1,1,0,0,1,18.51797047
1569,32,32,32,2,0,22.5763964,-0.004789168,22.5763964,1,1,0,0,1,22.5763964
1569,33,33,33,2,0,24.83597171,-0.004828372,24.83597171,1,1,0,0,1,24.83597171
1593,34,34,34,2,0,50.76467137,0.000634092,50.76467137,1,1,0,0,1,50.76467137
1593,35,35,35,2,0,24.09875337,-0.00061574,24.09875337,1,1,0,0,1,24.09875337
1593,36,36,36,2,0,50.76467137,0.000634092,50.76467137,1,1,0,0,1,50.76467137
1593,37,37,37,2,0,26.64501236,-0.000796368,26.64501236,1,1,0,0,1,26.64501236
1593,38,38,38,2,0,22.17209839,-0.000634372,22.17209839,1,1,0,0,1,22.17209839
1593,39,39,39,2,0,25.60588556,-0.00076934,25.60588556,1,1,0,0,1,25.60588556
1826,40,40,40,2,0,48.57962264,0.00212,48.57962264,1,1,0,0,1,48.57962264
1826,41,41,41,2,0,46.37886792,0.00212,46.37886792,1,1,0,0,1,46.37886792
1826,42,42,42,2,0,48.57962264,0.00212,48.57962264,1,1,0,0,1,48.57962264
