ID,R,G,X,B,Pmin,Pmax,Qmin,Qmax,S,NodeFrom,NodeTo,DecNetFrom,DecNetTo
1,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,54,55,IT_Transmission,IT_Transmission
2,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,54,56,IT_Transmission,IT_Transmission
3,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,54,57,IT_Transmission,IT_Transmission
4,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,54,58,IT_Transmission,IT_Transmission
5,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,74,76,IT_Transmission,IT_Transmission
6,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,74,77,IT_Transmission,IT_Transmission
7,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,78,79,IT_Transmission,IT_Transmission
8,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,59,60,IT_Transmission,IT_Transmission
9,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,60,61,IT_Transmission,IT_Transmission
10,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,82,83,IT_Transmission,IT_Transmission
11,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,92,93,IT_Transmission,IT_Transmission
12,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,85,63,IT_Transmission,IT_Transmission
13,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,85,64,IT_Transmission,IT_Transmission
14,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,91,69,IT_Transmission,IT_Transmission
15,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,91,70,IT_Transmission,IT_Transmission
16,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,72,95,IT_Transmission,IT_Transmission
17,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,72,96,IT_Transmission,IT_Transmission
18,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,72,97,IT_Transmission,IT_Transmission
19,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,433,434,IT_Transmission,IT_Transmission
20,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,65,66,IT_Transmission,IT_Transmission
21,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,65,67,IT_Transmission,IT_Transmission
22,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,445,446,IT_Transmission,IT_Transmission
23,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,445,446,IT_Transmission,IT_Transmission
24,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,444,445,IT_Transmission,IT_Transmission
25,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,444,445,IT_Transmission,IT_Transmission
26,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,120,122,IT_Transmission,IT_Transmission
27,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,133,134,IT_Transmission,IT_Transmission
28,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,139,140,IT_Transmission,IT_Transmission
29,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,139,140,IT_Transmission,IT_Transmission
30,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,139,141,IT_Transmission,IT_Transmission
31,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,139,141,IT_Transmission,IT_Transmission
32,0.0000125000,0.0000000000,0.0002500000,0.0000000000,-10.0000000000,10.0000000000,-10.0000000000,10.0000000000,100000.0000000000,108,109,IT_Transmission,IT_Transmission
