ID,R,G,X,B,Pmin,Pmax,Qmin,Qmax,S,NodeFrom,NodeTo,DecNetFrom,DecNetTo,Tap,Shift
1,0,0,0.00025,0,-10,10,-10,10,100000,54,55,IT_Transmission,IT_Transmission,1,0
2,0,0,0.00025,0,-10,10,-10,10,100000,54,56,IT_Transmission,IT_Transmission,1,0
3,0,0,0.00025,0,-10,10,-10,10,100000,54,57,IT_Transmission,IT_Transmission,1,0
4,0,0,0.00025,0,-10,10,-10,10,100000,54,58,IT_Transmission,IT_Transmission,1,0
5,0,0,0.00025,0,-10,10,-10,10,100000,74,76,IT_Transmission,IT_Transmission,1,0
6,0,0,0.00025,0,-10,10,-10,10,100000,74,77,IT_Transmission,IT_Transmission,1,0
7,0,0,0.00025,0,-10,10,-10,10,100000,78,79,IT_Transmission,IT_Transmission,1,0
8,0,0,0.00025,0,-10,10,-10,10,100000,59,60,IT_Transmission,IT_Transmission,1,0
9,0,0,0.00025,0,-10,10,-10,10,100000,60,61,IT_Transmission,IT_Transmission,1,0
10,0,0,0.00025,0,-10,10,-10,10,100000,82,83,IT_Transmission,IT_Transmission,1,0
11,0,0,0.00025,0,-10,10,-10,10,100000,92,93,IT_Transmission,IT_Transmission,1,0
12,0,0,0.00025,0,-10,10,-10,10,100000,85,63,IT_Transmission,IT_Transmission,1,0
13,0,0,0.00025,0,-10,10,-10,10,100000,85,64,IT_Transmission,IT_Transmission,1,0
14,0,0,0.00025,0,-10,10,-10,10,100000,91,69,IT_Transmission,IT_Transmission,1,0
15,0,0,0.00025,0,-10,10,-10,10,100000,91,70,IT_Transmission,IT_Transmission,1,0
16,0,0,0.00025,0,-10,10,-10,10,100000,72,95,IT_Transmission,IT_Transmission,1,0
17,0,0,0.00025,0,-10,10,-10,10,100000,72,96,IT_Transmission,IT_Transmission,1,0
18,0,0,0.00025,0,-10,10,-10,10,100000,72,97,IT_Transmission,IT_Transmission,1,0
19,0,0,0.00025,0,-10,10,-10,10,100000,433,434,IT_Transmission,IT_Transmission,1,0
20,0,0,0.00025,0,-10,10,-10,10,100000,65,66,IT_Transmission,IT_Transmission,1,0
21,0,0,0.00025,0,-10,10,-10,10,100000,65,67,IT_Transmission,IT_Transmission,1,0
22,0,0,0.00025,0,-10,10,-10,10,100000,445,446,IT_Transmission,IT_Transmission,1,0
23,0,0,0.00025,0,-10,10,-10,10,100000,445,446,IT_Transmission,IT_Transmission,1,0
24,0,0,0.00025,0,-10,10,-10,10,100000,444,445,IT_Transmission,IT_Transmission,1,0
25,0,0,0.00025,0,-10,10,-10,10,100000,444,445,IT_Transmission,IT_Transmission,1,0
26,0,0,0.00025,0,-10,10,-10,10,100000,120,122,IT_Transmission,IT_Transmission,1,0
27,0,0,0.00025,0,-10,10,-10,10,100000,133,134,IT_Transmission,IT_Transmission,1,0
28,0,0,0.00025,0,-10,10,-10,10,100000,139,140,IT_Transmission,IT_Transmission,1,0
29,0,0,0.00025,0,-10,10,-10,10,100000,139,140,IT_Transmission,IT_Transmission,1,0
30,0,0,0.00025,0,-10,10,-10,10,100000,139,141,IT_Transmission,IT_Transmission,1,0
31,0,0,0.00025,0,-10,10,-10,10,100000,139,141,IT_Transmission,IT_Transmission,1,0
32,0,0,0.00025,0,-10,10,-10,10,100000,108,109,IT_Transmission,IT_Transmission,1,0
33,0,0,0.00025,0,-10,10,-10,10,100000,108,109,IT_Transmission,IT_Transmission,1,0
34,0,0,0.00025,0,-10,10,-10,10,100000,151,152,IT_Transmission,IT_Transmission,1,0
35,0,0,0.00025,0,-10,10,-10,10,100000,156,157,IT_Transmission,IT_Transmission,1,0
36,0,0,0.00025,0,-10,10,-10,10,100000,153,154,IT_Transmission,IT_Transmission,1,0
37,0,0,0.00025,0,-10,10,-10,10,100000,153,155,IT_Transmission,IT_Transmission,1,0
38,0,0,0.00025,0,-10,10,-10,10,100000,173,174,IT_Transmission,IT_Transmission,1,0
39,0,0,0.00025,0,-10,10,-10,10,100000,173,175,IT_Transmission,IT_Transmission,1,0
