QtBids,QBid1,QBid2,Tau,ForTime
112303,302315,302315,68,68
112303,302315,302316,68,69
112303,302316,302316,69,69
112303,302315,302317,68,70
112303,302316,302317,69,70
112303,302317,302317,70,70
112304,302318,302318,68,68
112304,302318,302319,68,69
112304,302319,302319,69,69
112304,302318,302320,68,70
112304,302319,302320,69,70
112304,302320,302320,70,70
112305,302321,302321,68,68
112305,302321,302322,68,69
112305,302322,302322,69,69
112305,302321,302323,68,70
112305,302322,302323,69,70
112305,302323,302323,70,70
112306,302324,302324,68,68
112306,302324,302325,68,69
112306,302325,302325,69,69
112306,302324,302326,68,70
112306,302325,302326,69,70
112306,302326,302326,70,70
112307,302327,302327,68,68
112307,302327,302328,68,69
112307,302328,302328,69,69
112307,302327,302329,68,70
112307,302328,302329,69,70
112307,302329,302329,70,70
112308,302330,302330,68,68
112308,302330,302331,68,69
112308,302331,302331,69,69
112308,302330,302332,68,70
112308,302331,302332,69,70
112308,302332,302332,70,70
112309,302333,302333,68,68
112309,302333,302334,68,69
112309,302334,302334,69,69
112309,302333,302335,68,70
112309,302334,302335,69,70
112309,302335,302335,70,70
112310,302336,302336,68,68
112310,302336,302337,68,69
112310,302337,302337,69,69
112310,302336,302338,68,70
112310,302337,302338,69,70
112310,302338,302338,70,70
112311,302339,302339,68,68
112311,302339,302340,68,69
112311,302340,302340,69,69
112311,302339,302341,68,70
112311,302340,302341,69,70
112311,302341,302341,70,70
112312,302342,302342,68,68
112312,302342,302343,68,69
112312,302343,302343,69,69
112312,302342,302344,68,70
112312,302343,302344,69,70
112312,302344,302344,70,70
112313,302345,302345,68,68
112313,302345,302346,68,69
112313,302346,302346,69,69
112313,302345,302347,68,70
112313,302346,302347,69,70
112313,302347,302347,70,70
112314,302348,302348,68,68
112314,302348,302349,68,69
112314,302349,302349,69,69
112314,302348,302350,68,70
112314,302349,302350,69,70
112314,302350,302350,70,70
112315,302351,302351,68,68
112315,302351,302352,68,69
112315,302352,302352,69,69
112315,302351,302353,68,70
112315,302352,302353,69,70
112315,302353,302353,70,70
112316,302354,302354,68,68
112316,302354,302355,68,69
112316,302355,302355,69,69
112316,302354,302356,68,70
112316,302355,302356,69,70
112316,302356,302356,70,70
112317,302357,302357,68,68
112317,302357,302358,68,69
112317,302358,302358,69,69
112317,302357,302359,68,70
112317,302358,302359,69,70
112317,302359,302359,70,70
112318,302360,302360,68,68
112318,302360,302361,68,69
112318,302361,302361,69,69
112318,302360,302362,68,70
112318,302361,302362,69,70
112318,302362,302362,70,70
112319,302363,302363,68,68
112319,302363,302364,68,69
112319,302364,302364,69,69
112319,302363,302365,68,70
112319,302364,302365,69,70
112319,302365,302365,70,70
112320,302366,302366,68,68
112320,302366,302367,68,69
112320,302367,302367,69,69
112320,302366,302368,68,70
112320,302367,302368,69,70
112320,302368,302368,70,70
112321,302369,302369,68,68
112321,302369,302370,68,69
112321,302370,302370,69,69
112321,302369,302371,68,70
112321,302370,302371,69,70
112321,302371,302371,70,70
112322,302372,302372,68,68
112322,302372,302373,68,69
112322,302373,302373,69,69
112322,302372,302374,68,70
112322,302373,302374,69,70
112322,302374,302374,70,70
112323,302375,302375,68,68
112323,302375,302376,68,69
112323,302376,302376,69,69
112323,302375,302377,68,70
112323,302376,302377,69,70
112323,302377,302377,70,70
112324,302378,302378,68,68
112324,302378,302379,68,69
112324,302379,302379,69,69
112324,302378,302380,68,70
112324,302379,302380,69,70
112324,302380,302380,70,70
112325,302381,302381,68,68
112325,302381,302382,68,69
112325,302382,302382,69,69
112325,302381,302383,68,70
112325,302382,302383,69,70
112325,302383,302383,70,70
112326,302384,302384,68,68
112326,302384,302385,68,69
112326,302385,302385,69,69
112326,302384,302386,68,70
112326,302385,302386,69,70
112326,302386,302386,70,70
112327,302387,302387,68,68
112327,302387,302388,68,69
112327,302388,302388,69,69
112327,302387,302389,68,70
112327,302388,302389,69,70
112327,302389,302389,70,70
112328,302390,302390,68,68
112328,302390,302391,68,69
112328,302391,302391,69,69
112328,302390,302392,68,70
112328,302391,302392,69,70
112328,302392,302392,70,70
112329,302393,302393,68,68
112329,302393,302394,68,69
112329,302394,302394,69,69
112329,302393,302395,68,70
112329,302394,302395,69,70
112329,302395,302395,70,70
112330,302396,302396,68,68
112330,302396,302397,68,69
112330,302397,302397,69,69
112330,302396,302398,68,70
112330,302397,302398,69,70
