QtBids,QBid,RampConstr,RCFrom,RCTo,RCRealPowerIncr,RCMin
111161,298889,13543,-1,-1,532.000,0
111161,298890,13543,-1,-1,532.000,0
111161,298891,13543,-1,-1,532.000,0
111161,298889,13544,-1,-1,-532.000,1
111161,298890,13544,-1,-1,-532.000,1
111161,298891,13544,-1,-1,-532.000,1
111219,299063,13659,-1,-1,428.000,0
111219,299064,13659,-1,-1,428.000,0
111219,299065,13659,-1,-1,428.000,0
111219,299063,13660,-1,-1,-428.000,1
111219,299064,13660,-1,-1,-428.000,1
111219,299065,13660,-1,-1,-428.000,1
111220,299066,13661,-1,-1,11.000,0
111220,299067,13661,-1,-1,11.000,0
111220,299068,13661,-1,-1,11.000,0
111220,299066,13662,-1,-1,-11.000,1
111220,299067,13662,-1,-1,-11.000,1
111220,299068,13662,-1,-1,-11.000,1
111221,299069,13663,-1,-1,50.000,0
111221,299070,13663,-1,-1,50.000,0
111221,299071,13663,-1,-1,50.000,0
111221,299069,13664,-1,-1,-50.000,1
111221,299070,13664,-1,-1,-50.000,1
111221,299071,13664,-1,-1,-50.000,1
111222,299072,13665,-1,-1,30.000,0
111222,299073,13665,-1,-1,30.000,0
111222,299074,13665,-1,-1,30.000,0
111222,299072,13666,-1,-1,-30.000,1
111222,299073,13666,-1,-1,-30.000,1
111222,299074,13666,-1,-1,-30.000,1
111223,299075,13667,-1,-1,15.000,0
111223,299076,13667,-1,-1,15.000,0
111223,299077,13667,-1,-1,15.000,0
111223,299075,13668,-1,-1,-15.000,1
111223,299076,13668,-1,-1,-15.000,1
111223,299077,13668,-1,-1,-15.000,1
111224,299078,13669,-1,-1,226.000,0
111224,299079,13669,-1,-1,226.000,0
111224,299080,13669,-1,-1,226.000,0
111224,299078,13670,-1,-1,-226.000,1
111224,299079,13670,-1,-1,-226.000,1
111224,299080,13670,-1,-1,-226.000,1
111225,299081,13671,-1,-1,9.260,0
111225,299082,13671,-1,-1,9.260,0
111225,299083,13671,-1,-1,9.260,0
111225,299081,13672,-1,-1,-9.260,1
111225,299082,13672,-1,-1,-9.260,1
111225,299083,13672,-1,-1,-9.260,1
111162,298892,13545,-1,-1,266.000,0
111162,298893,13545,-1,-1,266.000,0
111162,298894,13545,-1,-1,266.000,0
111162,298892,13546,-1,-1,-266.000,1
111162,298893,13546,-1,-1,-266.000,1
111162,298894,13546,-1,-1,-266.000,1
111280,299246,13781,-1,-1,18.000,0
111280,299247,13781,-1,-1,18.000,0
111280,299248,13781,-1,-1,18.000,0
111280,299246,13782,-1,-1,-18.000,1
111280,299247,13782,-1,-1,-18.000,1
111280,299248,13782,-1,-1,-18.000,1
111226,299084,13673,-1,-1,66.000,0
111226,299085,13673,-1,-1,66.000,0
111226,299086,13673,-1,-1,66.000,0
111226,299084,13674,-1,-1,-66.000,1
111226,299085,13674,-1,-1,-66.000,1
111226,299086,13674,-1,-1,-66.000,1
111227,299087,13675,-1,-1,12.000,0
111227,299088,13675,-1,-1,12.000,0
111227,299089,13675,-1,-1,12.000,0
111227,299087,13676,-1,-1,-12.000,1
111227,299088,13676,-1,-1,-12.000,1
111227,299089,13676,-1,-1,-12.000,1
111153,298865,13527,-1,-1,64.400,0
111153,298866,13527,-1,-1,64.400,0
111153,298867,13527,-1,-1,64.400,0
111153,298865,13528,-1,-1,-64.400,1
111153,298866,13528,-1,-1,-64.400,1
111153,298867,13528,-1,-1,-64.400,1
111333,299405,13887,-1,-1,4.000,0
111333,299406,13887,-1,-1,4.000,0
