ID,Vsqmin,Vsqmax,Root,G,B,Qmin,Qmax
10060000,0.9025,1.1025,360,0,0,0,0
10060001,0.9025,1.1025,0,0,0,0,0
10060002,0.9025,1.1025,0,0,0,0,0
10060003,0.9025,1.1025,0,0,0,0,0
10060004,0.9025,1.1025,0,0,0,0,0
10060005,0.9025,1.1025,0,0,0,0,0
10060006,0.9025,1.1025,0,0,0,0,0
10060007,0.9025,1.1025,0,0,0,0,0
10060008,0.9025,1.1025,0,0,0,0,0
10060009,0.9025,1.1025,0,0,0,0,0
10060010,0.9025,1.1025,0,0,0,0,0
10060011,0.9025,1.1025,0,0,0,0,0
10060012,0.9025,1.1025,0,0,0,0,0
10060013,0.9025,1.1025,0,0,0,0,0
10060014,0.9025,1.1025,0,0,0,0,0
10060015,0.9025,1.1025,0,0,0,0,0
10060016,0.9025,1.1025,0,0,0,0,0
10060017,0.9025,1.1025,0,0,0,0,0
10060018,0.9025,1.1025,0,0,0,0,0
10060019,0.9025,1.1025,0,0,0,0,0
10060020,0.9025,1.1025,0,0,0,0,0
10060021,0.9025,1.1025,0,0,0,0,0
10060022,0.9025,1.1025,0,0,0,0,0
10060023,0.9025,1.1025,0,0,0,0,0
10060024,0.9025,1.1025,0,0,0,0,0
10060025,0.9025,1.1025,0,0,0,0,0
10060026,0.9025,1.1025,0,0,0,0,0
10060027,0.9025,1.1025,0,0,0,0,0
10060028,0.9025,1.1025,0,0,0,0,0
10060029,0.9025,1.1025,0,0,0,0,0
10060030,0.9025,1.1025,0,0,0,0,0
10060031,0.9025,1.1025,0,0,0,0,0
10060032,0.9025,1.1025,0,0,0,0,0
10060033,0.9025,1.1025,0,0,0,0,0
10060034,0.9025,1.1025,0,0,0,0,0
10060035,0.9025,1.1025,0,0,0,0,0
10060036,0.9025,1.1025,0,0,0,0,0
10060037,0.9025,1.1025,0,0,0,0,0
10060038,0.9025,1.1025,0,0,0,0,0
10060039,0.9025,1.1025,0,0,0,0,0
10060040,0.9025,1.1025,0,0,0,0,0
10060041,0.9025,1.1025,0,0,0,0,0
10060042,0.9025,1.1025,0,0,0,0,0
10060043,0.9025,1.1025,0,0,0,0,0
10060044,0.9025,1.1025,0,0,0,0,0
10060045,0.9025,1.1025,0,0,0,0,0
10060046,0.9025,1.1025,0,0,0,0,0
10060047,0.9025,1.1025,0,0,0,0,0
10060048,0.9025,1.1025,0,0,0,0,0
10060049,0.9025,1.1025,0,0,0,0,0
10060050,0.9025,1.1025,0,0,0,0,0
10060051,0.9025,1.1025,0,0,0,0,0
10060052,0.9025,1.1025,0,0,0,0,0
10060053,0.9025,1.1025,0,0,0,0,0
10060054,0.9025,1.1025,0,0,0,0,0
10060055,0.9025,1.1025,0,0,0,0,0
10060056,0.9025,1.1025,360,0,0,0,0
10060057,0.9025,1.1025,0,0,0,0,0
10060058,0.9025,1.1025,0,0,0,0,0
10060059,0.9025,1.1025,0,0,0,0,0
10060060,0.9025,1.1025,0,0,0,0,0
10060061,0.9025,1.1025,0,0,0,0,0
10060062,0.9025,1.1025,0,0,0,0,0
10060063,0.9025,1.1025,0,0,0,0,0
10060064,0.9025,1.1025,0,0,0,0,0
10060065,0.9025,1.1025,0,0,0,0,0
10060066,0.9025,1.1025,0,0,0,0,0
10060067,0.9025,1.1025,0,0,0,0,0
10060068,0.9025,1.1025,0,0,0,0,0
10060069,0.9025,1.1025,0,0,0,0,0
10060070,0.9025,1.1025,0,0,0,0,0
10060071,0.9025,1.1025,0,0,0,0,0
10060072,0.9025,1.1025,0,0,0,0,0
10060073,0.9025,1.1025,0,0,0,0,0
10060074,0.9025,1.1025,0,0,0,0,0
10060075,0.9025,1.1025,0,0,0,0,0
10060076,0.9025,1.1025,0,0,0,0,0
10060077,0.9025,1.1025,0,0,0,0,0
10060078,0.9025,1.1025,0,0,0,0,0
10060079,0.9025,1.1025,0,0,0,0,0
10060080,0.9025,1.1025,0,0,0,0,0
10060081,0.9025,1.1025,0,0,0,0,0
10060082,0.9025,1.1025,0,0,0,0,0
10060083,0.9025,1.1025,0,0,0,0,0
10060084,0.9025,1.1025,0,0,0,0,0
10060085,0.9025,1.1025,0,0,0,0,0
10060086,0.9025,1.1025,0,0,0,0,0
10060087,0.9025,1.1025,0,0,0,0,0
10060088,0.9025,1.1025,0,0,0,0,0
10060089,0.9025,1.1025,0,0,0,0,0
10060090,0.9025,1.1025,0,0,0,0,0
10060091,0.9025,1.1025,0,0,0,0,0
10060092,0.9025,1.1025,0,0,0,0,0
10060093,0.9025,1.1025,0,0,0,0,0
10060094,0.9025,1.1025,0,0,0,0,0
10060095,0.9025,1.1025,0,0,0,0,0
10060096,0.9025,1.1025,0,0,0,0,0
10060097,0.9025,1.1025,0,0,0,0,0
10060098,0.9025,1.1025,0,0,0,0,0
10060099,0.9025,1.1025,0,0,0,0,0
10060100,0.9025,1.1025,0,0,0,0,0
10060101,0.9025,1.1025,0,0,0,0,0
10060102,0.9025,1.1025,0,0,0,0,0
10060103,0.9025,1.1025,0,0,0,0,0
10060104,0.9025,1.1025,0,0,0,0,0
10060105,0.9025,1.1025,0,0,0,0,0
10060106,0.9025,1.1025,0,0,0,0,0
10060107,0.9025,1.1025,0,0,0,0,0
10060108,0.9025,1.1025,0,0,0,0,0
10060109,0.9025,1.1025,0,0,0,0,0
10060110,0.9025,1.1025,0,0,0,0,0
10060111,0.9025,1.1025,0,0,0,0,0
10060112,0.9025,1.1025,0,0,0,0,0
10060113,0.9025,1.1025,0,0,0,0,0
10060114,0.9025,1.1025,360,0,0,0,0
10060115,0.9025,1.1025,0,0,0,0,0
10060116,0.9025,1.1025,0,0,0,0,0
10060117,0.9025,1.1025,0,0,0,0,0
10060118,0.9025,1.1025,0,0,0,0,0
10060119,0.9025,1.1025,0,0,0,0,0
10060120,0.9025,1.1025,0,0,0,0,0
10060121,0.9025,1.1025,0,0,0,0,0
10060122,0.9025,1.1025,0,0,0,0,0
10060123,0.9025,1.1025,0,0,0,0,0
10060124,0.9025,1.1025,0,0,0,0,0
10060125,0.9025,1.1025,0,0,0,0,0
10060126,0.9025,1.1025,0,0,0,0,0
10060127,0.9025,1.1025,0,0,0,0,0
10060128,0.9025,1.1025,0,0,0,0,0
10060129,0.9025,1.1025,0,0,0,0,0
10060130,0.9025,1.1025,0,0,0,0,0
10060131,0.9025,1.1025,0,0,0,0,0
10060132,0.9025,1.1025,0,0,0,0,0
10060133,0.9025,1.1025,0,0,0,0,0
10060134,0.9025,1.1025,0,0,0,0,0
10060135,0.9025,1.1025,0,0,0,0,0
10060136,0.9025,1.1025,0,0,0,0,0
10060137,0.9025,1.1025,0,0,0,0,0
10060138,0.9025,1.1025,0,0,0,0,0
10060139,0.9025,1.1025,0,0,0,0,0
10060140,0.9025,1.1025,0,0,0,0,0
10060141,0.9025,1.1025,0,0,0,0,0
10060142,0.9025,1.1025,0,0,0,0,0
10060143,0.9025,1.1025,0,0,0,0,0
10060144,0.9025,1.1025,0,0,0,0,0
10060145,0.9025,1.1025,0,0,0,0,0
10060146,0.9025,1.1025,0,0,0,0,0
10060147,0.9025,1.1025,0,0,0,0,0
10060148,0.9025,1.1025,0,0,0,0,0
10150000,0.9025,1.1025,360,0,0,0,0
10150001,0.9025,1.1025,0,0,0,0,0
10150002,0.9025,1.1025,0,0,0,0,0
10150003,0.9025,1.1025,0,0,0,0,0
10150004,0.9025,1.1025,0,0,0,0,0
10150005,0.9025,1.1025,0,0,0,0,0
10150006,0.9025,1.1025,0,0,0,0,0
10150007,0.9025,1.1025,0,0,0,0,0
10150008,0.9025,1.1025,0,0,0,0,0
10150009,0.9025,1.1025,0,0,0,0,0
10150010,0.9025,1.1025,0,0,0,0,0
10150011,0.9025,1.1025,0,0,0,0,0
10150012,0.9025,1.1025,0,0,0,0,0
10150013,0.9025,1.1025,0,0,0,0,0
10150014,0.9025,1.1025,0,0,0,0,0
10150015,0.9025,1.1025,0,0,0,0,0
10150016,0.9025,1.1025,0,0,0,0,0
10150017,0.9025,1.1025,0,0,0,0,0
10150018,0.9025,1.1025,0,0,0,0,0
10150019,0.9025,1.1025,0,0,0,0,0
10150020,0.9025,1.1025,0,0,0,0,0
10150021,0.9025,1.1025,0,0,0,0,0
10150022,0.9025,1.1025,0,0,0,0,0
10150023,0.9025,1.1025,0,0,0,0,0
10150024,0.9025,1.1025,0,0,0,0,0
10150025,0.9025,1.1025,0,0,0,0,0
