ID,QtBid,QPHPFrom,QPHPTo,QPHPSlope,QPHPOffset,QPHPConstr
1,320,-1,-1,0.05,0,0
2,320,-1,-1,0.05,0,0
3,320,-1,-1,0.05,0,0
4,320,-1,-1,0.05,0,0
5,321,-1,-1,0.05,0,0
6,321,-1,-1,0.05,0,0
7,321,-1,-1,0.05,0,0
8,321,-1,-1,0.05,0,0
9,322,-1,-1,0.05,0,0
10,322,-1,-1,0.05,0,0
11,322,-1,-1,0.05,0,0
12,322,-1,-1,0.05,0,0
13,323,-1,-1,0.05,0,0
14,323,-1,-1,0.05,0,0
15,323,-1,-1,0.05,0,0
16,323,-1,-1,0.05,0,0
17,324,-1,-1,0.05,0,0
18,324,-1,-1,0.05,0,0
19,324,-1,-1,0.05,0,0
20,324,-1,-1,0.05,0,0
21,325,-1,-1,0.05,0,0
22,325,-1,-1,0.05,0,0
23,325,-1,-1,0.05,0,0
24,325,-1,-1,0.05,0,0
25,326,-1,-1,0.05,0,0
26,326,-1,-1,0.05,0,0
27,326,-1,-1,0.05,0,0
28,326,-1,-1,0.05,0,0
29,327,-1,-1,0.05,0,0
30,327,-1,-1,0.05,0,0
31,327,-1,-1,0.05,0,0
32,327,-1,-1,0.05,0,0
33,328,-1,-1,0.05,0,0
34,328,-1,-1,0.05,0,0
35,328,-1,-1,0.05,0,0
36,328,-1,-1,0.05,0,0
37,329,-1,-1,0.05,0,0
38,329,-1,-1,0.05,0,0
39,329,-1,-1,0.05,0,0
40,329,-1,-1,0.05,0,0
41,330,-1,-1,0.05,0,0
42,330,-1,-1,0.05,0,0
43,330,-1,-1,0.05,0,0
44,330,-1,-1,0.05,0,0
45,331,-1,-1,0.05,0,0
46,331,-1,-1,0.05,0,0
47,331,-1,-1,0.05,0,0
48,331,-1,-1,0.05,0,0
49,332,-1,-1,0.05,0,0
50,332,-1,-1,0.05,0,0
51,332,-1,-1,0.05,0,0
52,332,-1,-1,0.05,0,0
53,333,-1,-1,0.05,0,0
54,333,-1,-1,0.05,0,0
55,333,-1,-1,0.05,0,0
56,333,-1,-1,0.05,0,0
57,334,-1,-1,0.05,0,0
58,334,-1,-1,0.05,0,0
59,334,-1,-1,0.05,0,0
60,334,-1,-1,0.05,0,0
61,335,-1,-1,0.05,0,0
62,335,-1,-1,0.05,0,0
63,335,-1,-1,0.05,0,0
64,335,-1,-1,0.05,0,0
65,336,-1,-1,0.05,0,0
66,336,-1,-1,0.05,0,0
67,336,-1,-1,0.05,0,0
68,336,-1,-1,0.05,0,0
69,337,-1,-1,0.141539,0,1
70,337,-1,-1,0.141539,0,0
71,338,-1,-1,0.141539,0,1
72,338,-1,-1,0.141539,0,0
73,339,-1,-1,0.141539,0,1
74,339,-1,-1,0.141539,0,0
75,340,-1,-1,0.141539,0,1
76,340,-1,-1,0.141539,0,0
77,341,-1,-1,0.141539,0,1
78,341,-1,-1,0.141539,0,0
79,342,-1,-1,0.141539,0,1
80,342,-1,-1,0.141539,0,0
81,343,-1,-1,0.141539,0,1
82,343,-1,-1,0.141539,0,0
83,344,-1,-1,0.141539,0,1
84,344,-1,-1,0.141539,0,0
85,345,-1,-1,0.141539,0,1
86,345,-1,-1,0.141539,0,0
87,346,-1,-1,0.141539,0,1
88,346,-1,-1,0.141539,0,0
89,347,-1,-1,0.141539,0,1
90,347,-1,-1,0.141539,0,0
91,348,-1,-1,0.141539,0,1
92,348,-1,-1,0.141539,0,0
93,349,-1,-1,0.141539,0,1
94,349,-1,-1,0.141539,0,0
95,350,-1,-1,0.141539,0,1
96,350,-1,-1,0.141539,0,0
97,351,-1,-1,0.141539,0,1
98,351,-1,-1,0.141539,0,0
99,352,-1,-1,0.141539,0,1
100,352,-1,-1,0.141539,0,0
101,353,-1,-1,0.141539,0,1
102,353,-1,-1,0.141539,0,0
103,354,-1,-1,0.141539,0,1
104,354,-1,-1,0.141539,0,0
105,355,-1,-1,0.141539,0,1
106,355,-1,-1,0.141539,0,0
107,356,-1,-1,0.141539,0,1
108,356,-1,-1,0.141539,0,0
109,357,-1,-1,0.141539,0,1
110,357,-1,-1,0.141539,0,0
111,358,-1,-1,0.141539,0,1
112,358,-1,-1,0.141539,0,0
113,359,-1,-1,0.141539,0,1
114,359,-1,-1,0.141539,0,0
115,360,-1,-1,0.141539,0,1
116,360,-1,-1,0.141539,0,0
117,361,-1,-1,0.141539,0,1
118,361,-1,-1,0.141539,0,0
119,362,-1,-1,0.141539,0,1
120,362,-1,-1,0.141539,0,0
121,363,-1,-1,0.141539,0,1
122,363,-1,-1,0.141539,0,0
123,364,-1,-1,0.141539,0,1
124,364,-1,-1,0.141539,0,0
125,365,-1,-1,0.141539,0,1
126,365,-1,-1,0.141539,0,0
127,366,-1,-1,0.141539,0,1
128,366,-1,-1,0.141539,0,0
129,367,-1,-1,0.141539,0,1
130,367,-1,-1,0.141539,0,0
131,368,-1,-1,0.141539,0,1
132,368,-1,-1,0.141539,0,0
133,369,-1,-1,0.141539,0,1
134,369,-1,-1,0.141539,0,0
135,370,-1,-1,0.141539,0,1
136,370,-1,-1,0.141539,0,0
137,371,-1,-1,0.141539,0,1
138,371,-1,-1,0.141539,0,0
139,372,-1,-1,0.141539,0,1
140,372,-1,-1,0.141539,0,0
141,373,-1,-1,0.141539,0,1
142,373,-1,-1,0.141539,0,0
143,374,-1,-1,0.141539,0,1
144,374,-1,-1,0.141539,0,0
145,375,-1,-1,0.141539,0,1
146,375,-1,-1,0.141539,0,0
147,376,-1,-1,0.141539,0,1
148,376,-1,-1,0.141539,0,0
149,377,-1,-1,0.141539,0,1
150,377,-1,-1,0.141539,0,0
151,378,-1,-1,0.141539,0,1
152,378,-1,-1,0.141539,0,0
153,379,-1,-1,0.141539,0,1
154,379,-1,-1,0.141539,0,0
155,380,-1,-1,0.141539,0,1
156,380,-1,-1,0.141539,0,0
157,381,-1,-1,0.141539,0,1
158,381,-1,-1,0.141539,0,0
159,382,-1,-1,0.141539,0,1
160,382,-1,-1,0.141539,0,0
161,383,-1,-1,0.141539,0,1
162,383,-1,-1,0.141539,0,0
163,384,-1,-1,0.141539,0,1
164,384,-1,-1,0.141539,0,0
165,385,-1,-1,0.141539,0,1
166,385,-1,-1,0.141539,0,0
167,386,-1,-1,0.141539,0,1
168,386,-1,-1,0.141539,0,0
169,387,-1,-1,0.141539,0,1
170,387,-1,-1,0.141539,0,0
171,388,-1,-1,0.141539,0,1
172,388,-1,-1,0.141539,0,0
173,389,-1,-1,0.141539,0,1
174,389,-1,-1,0.141539,0,0
175,390,-1,-1,0.141539,0,1
176,390,-1,-1,0.141539,0,0
177,391,-1,-1,0.141539,0,1
178,391,-1,-1,0.141539,0,0
179,392,-1,-1,0.141539,0,1
180,392,-1,-1,0.141539,0,0
181,393,-1,-1,0.141539,0,1
182,393,-1,-1,0.141539,0,0
183,394,-1,-1,0.141539,0,1
184,394,-1,-1,0.141539,0,0
185,395,-1,-1,0.141539,0,1
186,395,-1,-1,0.141539,0,0
187,396,-1,-1,0.141539,0,1
188,396,-1,-1,0.141539,0,0
189,397,-1,-1,0.141539,0,1
190,397,-1,-1,0.141539,0,0
191,398,-1,-1,0.141539,0,1
192,398,-1,-1,0.141539,0,0
193,399,-1,-1,0.141539,0,1
194,399,-1,-1,0.141539,0,0
195,400,-1,-1,0.141539,0,1
196,400,-1,-1,0.141539,0,0
197,401,-1,-1,0.141539,0,1
198,401,-1,-1,0.141539,0,0
199,402,-1,-1,0.141539,0,1
200,402,-1,-1,0.141539,0,0
201,403,-1,-1,0.141539,0,1
202,403,-1,-1,0.141539,0,0
203,404,-1,-1,0.141539,0,1
204,404,-1,-1,0.141539,0,0
205,405,-1,-1,0.141539,0,1
206,405,-1,-1,0.141539,0,0
207,406,-1,-1,0.141539,0,1
208,406,-1,-1,0.141539,0,0
209,407,-1,-1,0.141539,0,1
210,407,-1,-1,0.141539,0,0
211,408,-1,-1,0.141539,0,1
212,408,-1,-1,0.141539,0,0
213,409,-1,-1,0.141539,0,1
214,409,-1,-1,0.141539,0,0
215,410,-1,-1,0.141539,0,1
216,410,-1,-1,0.141539,0,0
217,411,-1,-1,0.141539,0,1
218,411,-1,-1,0.141539,0,0
219,412,-1,-1,0.141539,0,1
220,412,-1,-1,0.141539,0,0
221,413,-1,-1,0.141539,0,1
222,413,-1,-1,0.141539,0,0
223,414,-1,-1,0.141539,0,1
224,414,-1,-1,0.141539,0,0
225,415,-1,-1,0.141539,0,1
226,415,-1,-1,0.141539,0,0
227,416,-1,-1,0.141539,0,1
228,416,-1,-1,0.141539,0,0
229,417,-1,-1,0.141539,0,1
230,417,-1,-1,0.141539,0,0
231,418,-1,-1,0.141539,0,1
232,418,-1,-1,0.141539,0,0
233,419,-1,-1,0.141539,0,1
234,419,-1,-1,0.141539,0,0
235,420,-1,-1,0.141539,0,1
236,420,-1,-1,0.141539,0,0
237,421,-1,-1,0.141539,0,1
238,421,-1,-1,0.141539,0,0
239,422,-1,-1,0.141539,0,1
240,422,-1,-1,0.141539,0,0
241,423,-1,-1,0.141539,0,1
242,423,-1,-1,0.141539,0,0
243,424,-1,-1,0.141539,0,1
244,424,-1,-1,0.141539,0,0
245,425,-1,-1,0.141539,0,1
246,425,-1,-1,0.141539,0,0
247,426,-1,-1,0.141539,0,1
248,426,-1,-1,0.141539,0,0
249,427,-1,-1,0.141539,0,1
250,427,-1,-1,0.141539,0,0
251,428,-1,-1,0.141539,0,1
252,428,-1,-1,0.141539,0,0
253,429,-1,-1,0.141539,0,1
254,429,-1,-1,0.141539,0,0
255,430,-1,-1,0.141539,0,1
256,430,-1,-1,0.141539,0,0
257,431,-1,-1,0.141539,0,1
258,431,-1,-1,0.141539,0,0
259,432,-1,-1,0.141539,0,1
260,432,-1,-1,0.141539,0,0
261,433,-1,-1,0.141539,0,1
262,433,-1,-1,0.141539,0,0
263,434,-1,-1,0.141539,0,1
264,434,-1,-1,0.141539,0,0
265,435,-1,-1,0.141539,0,1
266,435,-1,-1,0.141539,0,0
267,436,-1,-1,0.141539,0,1
268,436,-1,-1,0.141539,0,0
269,437,-1,-1,0.141539,0,1
270,437,-1,-1,0.141539,0,0
271,438,-1,-1,0.141539,0,1
272,438,-1,-1,0.141539,0,0
273,439,-1,-1,0.141539,0,1
274,439,-1,-1,0.141539,0,0
275,440,-1,-1,0.141539,0,1
276,440,-1,-1,0.141539,0,0
277,441,-1,-1,0.141539,0,1
278,441,-1,-1,0.141539,0,0
279,442,-1,-1,0.141539,0,1
280,442,-1,-1,0.141539,0,0
281,443,-1,-1,0.141539,0,1
282,443,-1,-1,0.141539,0,0
283,444,-1,-1,0.141539,0,1
284,444,-1,-1,0.141539,0,0
285,445,-1,-1,0.141539,0,1
286,445,-1,-1,0.141539,0,0
287,446,-1,-1,0.141539,0,1
288,446,-1,-1,0.141539,0,0
289,447,-1,-1,0.141539,0,1
290,447,-1,-1,0.141539,0,0
291,448,-1,-1,0.141539,0,1
292,448,-1,-1,0.141539,0,0
