QtBids,QBid,RampConstr,RCFrom,RCTo,RCRealPowerIncr,RCMin
294,1065,9,-1,-1,0.2997,0
294,1066,9,-1,-1,0.2997,0
294,1067,9,-1,-1,0.2997,0
294,1068,9,-1,-1,0.2997,0
294,1065,10,-1,-1,-0.2997,1
294,1066,10,-1,-1,-0.2997,1
294,1067,10,-1,-1,-0.2997,1
294,1068,10,-1,-1,-0.2997,1
295,1069,11,-1,-1,0.6966,0
295,1070,11,-1,-1,0.6966,0
295,1071,11,-1,-1,0.6966,0
295,1072,11,-1,-1,0.6966,0
295,1069,12,-1,-1,-0.6966,1
295,1070,12,-1,-1,-0.6966,1
295,1071,12,-1,-1,-0.6966,1
295,1072,12,-1,-1,-0.6966,1
298,1081,17,-1,-1,0.2985,0
298,1082,17,-1,-1,0.2985,0
298,1083,17,-1,-1,0.2985,0
298,1084,17,-1,-1,0.2985,0
298,1081,18,-1,-1,-0.2985,1
298,1082,18,-1,-1,-0.2985,1
298,1083,18,-1,-1,-0.2985,1
298,1084,18,-1,-1,-0.2985,1
301,1093,23,-1,-1,0.012,0
301,1094,23,-1,-1,0.012,0
301,1095,23,-1,-1,0.012,0
301,1096,23,-1,-1,0.012,0
301,1093,24,-1,-1,-0.012,1
301,1094,24,-1,-1,-0.012,1
301,1095,24,-1,-1,-0.012,1
301,1096,24,-1,-1,-0.012,1
302,1097,25,-1,-1,0.0288,0
302,1098,25,-1,-1,0.0288,0
302,1099,25,-1,-1,0.0288,0
302,1100,25,-1,-1,0.0288,0
302,1097,26,-1,-1,-0.0288,1
302,1098,26,-1,-1,-0.0288,1
302,1099,26,-1,-1,-0.0288,1
302,1100,26,-1,-1,-0.0288,1
303,1101,27,-1,-1,0.0132,0
303,1102,27,-1,-1,0.0132,0
303,1103,27,-1,-1,0.0132,0
303,1104,27,-1,-1,0.0132,0
303,1101,28,-1,-1,-0.0132,1
303,1102,28,-1,-1,-0.0132,1
303,1103,28,-1,-1,-0.0132,1
303,1104,28,-1,-1,-0.0132,1
304,1105,29,-1,-1,0.108,0
304,1106,29,-1,-1,0.108,0
304,1107,29,-1,-1,0.108,0
304,1108,29,-1,-1,0.108,0
304,1105,30,-1,-1,-0.108,1
304,1106,30,-1,-1,-0.108,1
304,1107,30,-1,-1,-0.108,1
304,1108,30,-1,-1,-0.108,1
312,1137,43,-1,-1,0.06,0
312,1138,43,-1,-1,0.06,0
312,1139,43,-1,-1,0.06,0
312,1140,43,-1,-1,0.06,0
312,1137,44,-1,-1,-0.06,1
312,1138,44,-1,-1,-0.06,1
312,1139,44,-1,-1,-0.06,1
312,1140,44,-1,-1,-0.06,1
314,1145,47,-1,-1,0.0105,0
314,1146,47,-1,-1,0.0105,0
314,1147,47,-1,-1,0.0105,0
314,1148,47,-1,-1,0.0105,0
314,1145,48,-1,-1,-0.0105,1
314,1146,48,-1,-1,-0.0105,1
314,1147,48,-1,-1,-0.0105,1
314,1148,48,-1,-1,-0.0105,1
316,1153,51,-1,-1,0.009,0
316,1154,51,-1,-1,0.009,0
316,1155,51,-1,-1,0.009,0
316,1156,51,-1,-1,0.009,0
316,1153,52,-1,-1,-0.009,1
316,1154,52,-1,-1,-0.009,1
316,1155,52,-1,-1,-0.009,1
316,1156,52,-1,-1,-0.009,1
317,1157,53,-1,-1,0.009,0
317,1158,53,-1,-1,0.009,0
317,1159,53,-1,-1,0.009,0
317,1160,53,-1,-1,0.009,0
317,1157,54,-1,-1,-0.009,1
317,1158,54,-1,-1,-0.009,1
317,1159,54,-1,-1,-0.009,1
317,1160,54,-1,-1,-0.009,1
318,1161,55,-1,-1,0.018,0
318,1162,55,-1,-1,0.018,0
318,1163,55,-1,-1,0.018,0
318,1164,55,-1,-1,0.018,0
318,1161,56,-1,-1,-0.018,1
318,1162,56,-1,-1,-0.018,1
318,1163,56,-1,-1,-0.018,1
318,1164,56,-1,-1,-0.018,1
319,1165,57,-1,-1,0.018,0
319,1166,57,-1,-1,0.018,0
319,1167,57,-1,-1,0.018,0
319,1168,57,-1,-1,0.018,0
319,1165,58,-1,-1,-0.018,1
319,1166,58,-1,-1,-0.018,1
319,1167,58,-1,-1,-0.018,1
319,1168,58,-1,-1,-0.018,1
290,1049,1,-1,-1,1575,0
290,1050,1,-1,-1,1575,0
290,1051,1,-1,-1,1575,0
290,1052,1,-1,-1,1575,0
290,1049,2,-1,-1,-1575,1
290,1050,2,-1,-1,-1575,1
290,1051,2,-1,-1,-1575,1
290,1052,2,-1,-1,-1575,1
291,1053,3,-1,-1,0.345,0
291,1054,3,-1,-1,0.345,0
291,1055,3,-1,-1,0.345,0
291,1056,3,-1,-1,0.345,0
291,1053,4,-1,-1,-0.345,1
291,1054,4,-1,-1,-0.345,1
291,1055,4,-1,-1,-0.345,1
291,1056,4,-1,-1,-0.345,1
297,1077,15,-1,-1,0.288,0
297,1078,15,-1,-1,0.288,0
297,1079,15,-1,-1,0.288,0
297,1080,15,-1,-1,0.288,0
297,1077,16,-1,-1,-0.288,1
297,1078,16,-1,-1,-0.288,1
297,1079,16,-1,-1,-0.288,1
297,1080,16,-1,-1,-0.288,1
305,1109,31,-1,-1,0.189,0
305,1110,31,-1,-1,0.189,0
305,1111,31,-1,-1,0.189,0
305,1112,31,-1,-1,0.189,0
305,1109,32,-1,-1,-0.189,1
305,1110,32,-1,-1,-0.189,1
305,1111,32,-1,-1,-0.189,1
305,1112,32,-1,-1,-0.189,1
310,1129,39,-1,-1,0.003,0
310,1130,39,-1,-1,0.003,0
310,1131,39,-1,-1,0.003,0
310,1132,39,-1,-1,0.003,0
310,1129,40,-1,-1,-0.003,1
310,1130,40,-1,-1,-0.003,1
310,1131,40,-1,-1,-0.003,1
310,1132,40,-1,-1,-0.003,1
311,1133,41,-1,-1,0.042,0
311,1134,41,-1,-1,0.042,0
311,1135,41,-1,-1,0.042,0
311,1136,41,-1,-1,0.042,0
311,1133,42,-1,-1,-0.042,1
311,1134,42,-1,-1,-0.042,1
311,1135,42,-1,-1,-0.042,1
311,1136,42,-1,-1,-0.042,1
306,1113,33,-1,-1,0.042,0
306,1114,33,-1,-1,0.042,0
306,1115,33,-1,-1,0.042,0
306,1116,33,-1,-1,0.042,0
306,1113,34,-1,-1,-0.042,1
306,1114,34,-1,-1,-0.042,1
306,1115,34,-1,-1,-0.042,1
306,1116,34,-1,-1,-0.042,1
308,1121,35,-1,-1,0.014442,0
308,1122,35,-1,-1,0.014442,0
308,1123,35,-1,-1,0.014442,0
308,1124,35,-1,-1,0.014442,0
308,1121,36,-1,-1,-0.014442,1
308,1122,36,-1,-1,-0.014442,1
308,1123,36,-1,-1,-0.014442,1
308,1124,36,-1,-1,-0.014442,1
309,1125,37,-1,-1,0.5154,0
309,1126,37,-1,-1,0.5154,0
309,1127,37,-1,-1,0.5154,0
309,1128,37,-1,-1,0.5154,0
309,1125,38,-1,-1,-0.5154,1
309,1126,38,-1,-1,-0.5154,1
309,1127,38,-1,-1,-0.5154,1
309,1128,38,-1,-1,-0.5154,1
296,1073,13,-1,-1,0.315,0
296,1074,13,-1,-1,0.315,0
296,1075,13,-1,-1,0.315,0
296,1076,13,-1,-1,0.315,0
296,1073,14,-1,-1,-0.315,1
296,1074,14,-1,-1,-0.315,1
296,1075,14,-1,-1,-0.315,1
296,1076,14,-1,-1,-0.315,1
292,1057,5,-1,-1,0.048,0
292,1058,5,-1,-1,0.048,0
292,1059,5,-1,-1,0.048,0
292,1060,5,-1,-1,0.048,0
292,1057,6,-1,-1,-0.048,1
292,1058,6,-1,-1,-0.048,1
292,1059,6,-1,-1,-0.048,1
292,1060,6,-1,-1,-0.048,1
293,1061,7,-1,-1,0.2967,0
293,1062,7,-1,-1,0.2967,0
293,1063,7,-1,-1,0.2967,0
293,1064,7,-1,-1,0.2967,0
293,1061,8,-1,-1,-0.2967,1
293,1062,8,-1,-1,-0.2967,1
293,1063,8,-1,-1,-0.2967,1
293,1064,8,-1,-1,-0.2967,1
300,1089,21,-1,-1,0.2985,0
300,1090,21,-1,-1,0.2985,0
300,1091,21,-1,-1,0.2985,0
300,1092,21,-1,-1,0.2985,0
300,1089,22,-1,-1,-0.2985,1
300,1090,22,-1,-1,-0.2985,1
300,1091,22,-1,-1,-0.2985,1
300,1092,22,-1,-1,-0.2985,1
313,1141,45,-1,-1,1.08,0
313,1142,45,-1,-1,1.08,0
313,1143,45,-1,-1,1.08,0
313,1144,45,-1,-1,1.08,0
313,1141,46,-1,-1,-1.08,1
313,1142,46,-1,-1,-1.08,1
313,1143,46,-1,-1,-1.08,1
313,1144,46,-1,-1,-1.08,1
315,1149,49,-1,-1,0.108,0
315,1150,49,-1,-1,0.108,0
315,1151,49,-1,-1,0.108,0
315,1152,49,-1,-1,0.108,0
315,1149,50,-1,-1,-0.108,1
315,1150,50,-1,-1,-0.108,1
315,1151,50,-1,-1,-0.108,1
315,1152,50,-1,-1,-0.108,1
299,1085,19,-1,-1,0.2985,0
299,1086,19,-1,-1,0.2985,0
299,1087,19,-1,-1,0.2985,0
299,1088,19,-1,-1,0.2985,0
299,1085,20,-1,-1,-0.2985,1
299,1086,20,-1,-1,-0.2985,1
299,1087,20,-1,-1,-0.2985,1
299,1088,20,-1,-1,-0.2985,1
